KNM        ER 180     Too18stv



























































































































































15.4364    13.7084    9.938      L-ALV
15.7396    13.8957    9.8786
15.9362    14.0952    9.811
16.1682    14.1815    9.8174
16.4156    14.3836    9.6838
16.6033    14.744     9.5385
16.8127    14.9523    9.579
17.0504    15.2071    9.4642
17.2391    15.3901    9.3423
17.4399    15.6894    9.2517
17.5276    15.9345    9.1441
17.6943    16.1909    9.1979
17.8179    16.5323    9.0997
18.0098    16.8511    9.1617
17.9804    17.2031    8.899
18.0805    17.4616    8.7551
18.1614    17.575     8.8341
18.182     17.6903    8.6822
18.1739    17.9171    8.649
18.4512    18.141     8.2343
18.6198    18.2276    7.8693
