MNHN       1972.361   Tg32stv
-1.3673    15.3288    10.6128
-1.2938    15.5553    10.5514
-1.2508    15.7851    10.5116
-1.2008    16.0012    10.4952
-1.1701    16.1481    10.5187
-1.1306    16.2631    10.4578
-1.0726    16.3392    10.4555





















































































































































































2.1321     11.7294    10.9415    L-ALV
2.3452     12.077     10.8629
2.3793     12.3576    10.9193
2.4802     12.606     10.8558
2.4915     12.934     10.8178
2.5003     13.1104    10.8146
2.4912     13.3832    10.839
2.5216     13.5966    10.7321
2.42       14.0108    10.7523
2.3484     14.3369    10.6261
2.3062     14.4982    10.6161
2.2419     14.8527    10.5047
2.1359     15.1645    10.3878
2.0198     15.4177    10.492
1.981      15.7739    10.4466
1.9587     15.9632    10.3817
1.9172     16.1616    10.3845
1.837      16.3415    10.2838
