MNHN       AC A-1439  Tg36stv


























































































































-2.5036    8.2665     11.3792    R-ALV
-2.7095    8.4976     11.3506
-2.8303    8.7947     11.3536
-2.9342    9.0321     11.4267
-3.0233    9.2678     11.4504
-3.0794    9.4473     11.4779
-3.1586    9.6971     11.4351
-3.2131    9.9467     11.376
-3.223     10.2168    11.3627
-3.2264    10.3559    11.3438
-3.2401    10.5494    11.3464
-3.2667    10.8351    11.3127
-3.289     11.0369    11.2737
-3.2261    11.2929    11.2241
-3.126     11.5223    11.1776
-3.0768    11.6789    11.1378
-3.0171    11.968     11.0991
-2.9537    12.1827    11.0736
-2.914     12.3523    10.9865
-2.9012    12.5294    10.8949
-2.8632    12.5926    10.9161



















































































































































































0.8992     8.647      11.1554    L-ALV
1.0127     8.879      11.1801
1.0632     9.1102     11.1766
1.1257     9.5659     11.2095
1.1481     9.8027     11.2125
1.1631     10.0488    11.1923
1.1507     10.2839    11.1394
1.0924     10.6637    11.1073
1.0241     10.8606    11.1215
0.9941     11.0294    11.1291
0.957      11.1937    11.1112
0.9203     11.3726    11.0708
0.8736     11.5621    11.0269
0.6264     11.8852    10.9648
0.4824     12.146     10.8992
0.4079     12.2921    10.8865
0.3233     12.4845    10.8942
0.2144     12.6801    10.8228
0.1585     12.7693    10.7784
0.0875     12.8943    10.788
0.0266     13.0406    10.7268
