FMNH        27189     Tg18stv
17.4208     16.8868     12.9791     O1
10.8094     12.6648     6.1457      O2
13.7083     6.2313      10.4466     O3
7.7721      5.6047      9.0137      O4




















































































































































































10.844      14.8788     11.0182     RZYGINF
10.6678     14.8419     10.9136
10.4669     14.8245     10.7814
10.2767     14.8432     10.6481
10.2372     14.9762     10.5704
10.1257     15.0113     10.5637
10.0227     15.1243     10.6266
9.8978      15.2144     10.7161
9.6721      15.1475     10.7501
9.4978      15.0258     10.7669
9.2661      14.8139     10.7535
8.974       14.7719     10.7864
8.8283      14.6761     10.7679
8.7333      14.5029     10.7862
8.618       14.323      10.8025
8.402       14.274      10.7517
8.2501      14.2058     10.7175
8.0911      14.0776     10.7244
8.0014      13.9411     10.75
7.91        13.8788     10.7724
7.8668      13.8173     10.7949



















































































































































































15.6355     10.2911     11.4972     LZYGINF
15.6682     10.1338     11.4286
15.6948     9.9072      11.4027
15.6373     9.6111      11.3962
15.5451     9.3503      11.351
15.5909     9.1417      11.351
15.6776     8.8881      11.3562
15.6224     8.7237      11.424
15.4826     8.4161      11.4871
15.4752     8.2507      11.4988
15.4071     8.0864      11.4704
15.3006     7.8584      11.41
15.1694     7.7617      11.3712
14.9188     7.5606      11.27
14.7746     7.4249      11.225
14.7177     7.1468      11.1698
14.6395     6.968       11.1143
14.6171     6.8339      11.063
14.5473     6.7553      11.0613





















































































































































































11.3965     13.4911     13.0084     R-ALV
11.4197     13.7692     13.0426
11.5588     14.011      13.0069
11.6246     14.1914     12.9474
11.7392     14.4201     12.8887
11.8609     14.6025     12.9327
11.9724     14.7589     12.9382
12.1006     14.8665     12.9345
12.2264     14.9963     12.873
12.368      15.1179     12.9349
12.5082     15.3315     12.9071
12.6882     15.3514     12.8681
12.8329     15.4953     12.8525
12.9943     15.6511     12.8176
13.1424     15.7399     12.844
13.2816     15.8853     12.824
13.4775     15.9919     12.7992
13.6684     16.155      12.7503
13.8046     16.3138     12.7394
14.0253     16.4346     12.7731
14.2369     16.5532     12.7709
14.3229     16.6436     12.7458
14.5832     16.7853     12.7499

















































































































































































13.9802     11.2502     13.3078     L-ALV
14.3249     11.281      13.4081
14.4945     11.4217     13.3598
14.7696     11.6017     13.3423
14.9284     11.7502     13.3797
15.1507     11.8919     13.369
15.3017     11.9996     13.3808
15.4211     12.1967     13.3256
15.6047     12.3832     13.3473
15.7984     12.6428     13.3105
15.919      12.8266     13.32
16.0188     12.995      13.3676
16.0833     13.1469     13.2832
16.2516     13.332      13.2773
16.3495     13.6249     13.1785
16.4807     13.8892     13.1376
16.6404     14.0533     13.0854
16.7484     14.2159     13.0239
16.8647     14.3351     12.9818
16.9705     14.4503     12.9399
16.9874     14.63       12.9892
