NMNH       122634     See7stv
-1.7413    8.5639     5.5335
-1.7115    8.7951     5.4858
-1.6649    9.0696     5.464
-1.5834    9.2958     5.3827
-1.4165    9.5008     5.2355
-1.331     9.7177     5.2436
-1.2027    9.9228     5.0337
-1.1508    10.0922    5.0163
-1.0717    10.2867    4.9248



























































































































































































1.5791     7.3483     5.7022     L-ALV
1.7364     7.6768     5.6487
1.8267     7.9356     5.6201
1.9129     8.0756     5.6554
1.9402     8.3242     5.6039
1.9664     8.5438     5.5755
1.9771     8.7844     5.473
1.9152     8.9807     5.386
1.8395     9.2337     5.2882
1.7865     9.4202     5.2527
1.7575     9.6074     5.1892
1.6805     9.8117     5.1276
1.6557     10.0067    5.0511
1.5915     10.2875    4.94
