FMNH       27039      Tg12stv
12.9848    6.5686     11.5064
13.1071    6.5929     11.4832
13.2879    6.6062     11.4927
13.4408    6.635      11.4987
13.554     6.7256     11.5441
13.6776    6.7563     11.5661
13.8025    6.7939     11.5898
13.9288    6.8527     11.6525
















































































































































































7.4817     6.767      12.169     OP
8.8993     8.3224     12.627     BA
12.4922    11.994     12.6996    ST
16.0486    15.7391    13.2104    IV
6.3509     11.3333    12.0534    R_PG
6.5813     13.7646    10.6561    R_ZTI
11.2128    13.3998    13.7142    R_M3D
12.712     15.708     13.8008    R_M12
14.6415    17.2782    13.4776    R_MP3
16.2279    17.6574    13.4338    R_PMI
12.0167    5.8226     13.2839    L_PG
14.836     5.9313     12.2456    L_ZTI
13.7528    11.0844    14.1245    L_M3D
16.0363    12.4685    14.3154    L_M12
17.6207    14.5354    14.0379    L_MP3
18.1329    16.047     13.625     L_PMI
17.9398    18.3277    13.4857    O1
10.8861    12.2924    6.2572     O2
14.3529    5.5525     11.8197    O3
8.2859     4.3096     10.1972    O4




















































































































































































10.4356    15.0568    11.0802    RZYGINF
10.2286    15.0216    11.0305
10.0724    14.9857    10.9633
9.9117     14.94      10.8699
9.7457     14.9446    10.7756
9.6211     14.9151    10.6989
9.4741     14.9204    10.6649
9.2542     14.8512    10.6381
9.0069     14.881     10.6367
8.7003     14.8076    10.6526
8.5107     14.7475    10.659
8.3567     14.6809    10.6358
8.215      14.5445    10.6232
8.061      14.4628    10.5985
7.8265     14.3712    10.5985
7.7035     14.2784    10.6012
7.5154     14.2076    10.61
7.3327     14.0938    10.6367
7.1659     14.0077    10.6641
6.9804     13.9548    10.6849
6.8343     13.8925    10.7071
6.7337     13.8311    10.6956
6.6449     13.7855    10.6921
6.5441     13.7096    10.6583
















































































































































































15.9022    9.8899     12.3601    LZYGINF
15.9346    9.5949     12.2213
15.9097    9.4479     12.15
15.9103    9.2301     12.05
15.9349    9.0311     12.0021
15.9655    8.7579     11.977
16.0269    8.6127     11.9955
15.9089    8.3982     12.0099
15.9325    8.0896     12.088
15.8954    7.8702     12.1258
15.8468    7.6618     12.149
15.8278    7.5083     12.1554
15.7883    7.3216     12.1511
15.7214    7.1449     12.1393
15.6685    6.9647     12.107
15.554     6.8189     12.1031
15.4467    6.6418     12.1381
15.3118    6.4597     12.159
15.1979    6.3165     12.1996
15.12      6.1783     12.2485
15.0188    6.0682     12.2643
14.9079    5.9056     12.2409


















































































































































































11.225     13.4978    13.6169    R-ALV
11.2265    13.7368    13.7061
11.3018    13.9869    13.6867
11.344     14.1254    13.7529
11.4001    14.1982    13.7928
11.4655    14.3993    13.7933
11.5847    14.5888    13.8366
11.6915    14.7261    13.8487
11.76      14.8623    13.8246
11.8546    14.9633    13.887
11.9354    15.0816    13.8672
12.0099    15.1314    13.8819
12.1166    15.3255    13.8938
12.2546    15.5514    13.8893
12.475     15.5852    13.8195
12.6358    15.7574    13.7431
12.7996    15.9468    13.6544
12.9497    16.0832    13.6464
13.1117    16.2535    13.5527
13.2466    16.3905    13.6774
13.4784    16.4737    13.5909
13.729     16.6373    13.5482
13.9416    16.83      13.5893
14.134     16.96      13.5037
14.2521    17.0522    13.4692
14.3904    17.198     13.4529
14.5115    17.2652    13.4534
14.5774    17.2954    13.455












































































































































































13.8267    11.1456    14.0883    L-ALV
14.0532    11.1069    14.2084
