BM(NH)     M32102     Too31stv
14.7323    4.9354     9.8295
14.6338    4.8173     9.8155
14.575     4.6809     9.7895
14.3793    4.5233     9.7574
14.2541    4.2264     9.7328
14.1351    3.9559     9.7329
14.0001    3.7888     9.7574
13.883     3.6722     9.8253
13.689     3.4911     9.8675
13.5084    3.2741     9.8182
13.3713    3.1479     9.7676
13.3459    2.9733     9.7138
13.2003    2.8744     9.6156













































































































































































8.3857     11.2169    12.2999    R-ALV
8.6107     11.9066    12.3151
8.7447     12.2121    12.2986
8.8554     12.5607    12.5483
8.9739     12.7783    12.655
9.1544     13.0251    12.6629
9.2395     13.1286    12.6971
9.4219     13.3327    12.7545
9.6301     13.597     12.8074
9.7437     13.7453    12.8347
9.9811     13.923     12.8612
10.1895    14.16      12.8408
10.3788    14.3015    12.9408
10.7183    14.616     12.8659
10.9059    14.7553    12.8814
11.1049    14.9238    12.9408
11.523     15.1683    12.9891
11.7959    15.373     12.9139
12.0401    15.493     12.7591
12.2215    15.7122    12.6344
12.3905    15.8537    12.5075
12.6038    16         12.4336
12.6519    16.0607    12.4175

















































































































































































12.0376    8.1203     12.3984    L-ALV
12.2626    8.1615     12.4082
12.5877    8.2441     12.4193
12.8071    8.448      12.5671
12.932     8.5602     12.5838
13.3249    8.8336     12.631
13.5788    9.0175     12.7571
13.7277    9.168      12.7706
13.956     9.3557     12.7353
14.148     9.5324     12.7852
14.2911    9.7155     12.7717
14.398     9.8473     12.7685
14.5064    10.005     12.6995
14.6289    10.2947    12.6924
14.6856    10.4458    12.6768
14.7965    10.6754    12.7447
14.9753    10.8945    12.7719
15.0589    11.0421    12.7951
15.198     11.2136    12.7451
15.2896    11.3855    12.7203
15.348     11.551     12.7041
15.3967    11.7132    12.6946
15.5175    11.9585    12.6385
15.6404    12.1641    12.6001
15.7475    12.3457    12.6163
15.8833    12.5407    12.597
15.9896    12.7349    12.5108
16.0588    12.92      12.4439
16.1393    13.0766    12.4097
16.2241    13.2542    12.4351
