AMNH       119648     Rpr11stv
3.8438     11.0171    7.6287
3.9298     10.8165    7.6129
3.9535     10.6151    7.6064





























































































































































































-1.5729    11.3645    8.1908     R-ALV
-1.7332    11.6931    8.1647
-1.8461    12.1254    8.1981
-1.8995    12.3543    8.2252
-1.9287    12.652     8.187
-1.898     13.0059    8.1671
-1.8431    13.2862    8.124
-1.7152    13.7234    7.9792
-1.6402    13.86      7.8737
-1.5024    14.0582    7.8132
-1.3011    14.1695    7.6824





























































































































































































1.5536     11.2291    8.1156     L-ALV
1.7069     11.4032    8.1039
1.8174     11.6852    8.0691
1.8904     11.8548    8.1251
1.9852     12.1947    8.1018
2.052      12.4551    8.1194
2.0667     12.6307    8.0945
2.0549     12.7581    8.0825
2.057      12.9808    8.0608
2.0347     13.1734    8.0287
2.0031     13.3812    7.9387
1.9353     13.5942    7.9167
1.8927     13.7431    7.809
1.681      13.9681    7.654
