KNM        ER 1531    Too20stv































11.7658    17.2073    10.765     R-ALV
11.8293    17.7834    10.7387
11.9592    18.1328    10.6867
12.201     18.6067    10.7491
12.3949    19.0248    10.7031
12.5727    19.3098    10.7335
12.9057    19.8206    10.6899
13.132     20.0961    10.7087
13.4333    20.3896    10.5928
13.9034    20.8056    10.4034
14.1887    21.0834    10.3268
14.4302    21.3291    10.1864
14.6537    21.4415    10.0484
14.8336    21.803     9.9682
14.9707    22.0114    9.9025
15.0849    22.2573    9.8647
15.1935    22.4487    9.8055
15.3599    22.6677    9.7511






















































































































































































16.0587    14.4351    10.724     L-ALV
16.5895    14.725     10.6553
16.8526    14.9587    10.5799
17.0392    15.112     10.5349
17.4148    15.4823    10.4443
17.6512    15.6722    10.4506
17.9347    16.0001    10.3674
18.0803    16.2353    10.3383
18.2738    16.7215    10.2034
18.4535    16.9851    10.1315
18.582     17.2648    10.1059
18.7769    17.508     10.0899
18.9488    17.7398    10.0228
19.0246    18.0194    9.9892
19.2768    18.3088    9.8863
19.4356    18.5126    9.8444
19.4695    18.6663    9.7735
19.8085    19.0136    9.4559
20.0486    19.3383    9.4481
20.2321    19.466     9.4216
