BMNH       69.556     Phk3stv
8.7512     9.3673     10.7503    R-ALV
8.763      9.592      10.7585
8.7933     9.8076     10.6827
8.8093     9.9989     10.6377
8.8537     10.2333    10.6332
8.9488     10.387     10.5809
9.0445     10.5358    10.5415
9.1411     10.6913    10.468
9.2603     10.8713    10.4027
9.3122     10.9607    10.3626
9.3818     11.0942    10.3296
9.5316     11.2585    10.2867
9.7074     11.363     10.2218
9.795      11.4698    10.2017
9.8704     11.5635    10.1838
9.9369     11.6536    10.1547
9.9952     11.7473    10.119
10.1191    11.908     10.0662
10.3441    11.9824    9.947
10.5545    12.1687    9.9164
10.7289    12.3296    9.8848
10.8562    12.4323    9.8528
10.9416    12.5244    9.8164
11.0254    12.6443    9.7942
11.1662    12.737     9.6945















































































































































































11.7185    7.1181     10.8395    L-ALV
11.9461    7.125      10.8147
12.1257    7.1998     10.7779
12.2411    7.2476     10.6941
12.3688    7.3087     10.6751
12.478     7.3811     10.6948
12.6082    7.5077     10.6426
12.69      7.608      10.5914
12.7419    7.7105     10.5822
12.8288    7.8145     10.5364
12.9544    7.9159     10.4878
13.0476    8.0292     10.4499
13.1615    8.1372     10.4249
13.2813    8.2778     10.4274
13.3385    8.3563     10.3726
13.3866    8.5496     10.3153
13.4827    8.705      10.3136
13.5823    8.835      10.2583
13.6777    8.9491     10.2606
13.8001    9.0572     10.232
13.8579    9.1641     10.1933
13.9334    9.3973     10.1403
13.9926    9.5432     10.1425
14.0853    9.6818     10.0985
14.1544    9.8305     10.0629
14.2256    9.9379     10.0246
14.3614    10.077     9.9557
14.4422    10.158     9.8932
14.5204    10.2697    9.8607
14.6002    10.3698    9.7904
