UCB LHES   104        Phq





























































12.4343    7.8444     12.2858    LZYGINF
12.4458    7.5608     12.2348
12.5775    7.4214     12.1474
12.6634    7.2952     12.1346
12.7174    7.183      12.1682
12.74      6.99       12.081
12.7543    6.7974     12.0915
12.7247    6.6186     12.1176
12.6455    6.4333     12.133
12.5022    6.3356     12.18
12.3131    6.2289     12.2575
12.1144    6.1271     12.2695
12.08      5.963      12.2671
11.9861    5.7579     12.241
11.9229    5.5719     12.2025
11.9397    5.371      12.0765
11.8397    5.1584     11.9703
11.6196    4.9566     11.9331
11.5736    4.855      11.8971
11.5643    4.6857     11.8341
11.5102    4.5574     11.7756



















































































































































































8.1798     11.3962    13.4223    R-ALV
8.2078     11.763     13.3505
8.3008     12.0486    13.2929
8.3852     12.2103    13.3309
8.5036     12.412     13.3788
8.6172     12.5321    13.4228
8.8628     12.8139    13.3486
9.0761     12.9892    13.3559
9.1723     13.155     13.3501
9.4241     13.3417    13.2728
9.5579     13.4301    13.3692
9.7035     13.5958    13.3793
9.8976     13.8062    13.398
10.0228    14.005     13.3398
10.2199    14.1072    13.4357
10.3593    14.1636    13.4997
10.4937    14.2719    13.4965
10.6625    14.4679    13.5845
10.7079    14.6296    13.562
10.8698    14.8059    13.5231
10.9903    14.9241    13.5313
11.0869    15.0309    13.5262
11.3856    15.2471    13.5586

















































































































































































11.4315    8.6033     13.4372    L-ALV
11.7493    8.725      13.3907
12.006     8.9329     13.424
12.2781    9.0745     13.3122
12.4299    9.2162     13.335
12.5102    9.396      13.4324
12.6178    9.5408     13.4558
12.8649    9.7664     13.4678
13.0636    9.9357     13.4875
13.2643    10.1902    13.4618
13.3167    10.4701    13.4809
13.5554    10.6853    13.358
13.6948    10.8562    13.479
13.856     11.0278    13.4046
13.9048    11.3109    13.3881
14.1051    11.5693    13.4735
14.3066    11.6759    13.4259
14.376     11.8795    13.4845
14.4915    11.9897    13.4866
14.6088    12.1253    13.5201
14.7189    12.3175    13.5067
14.7522    12.4519    13.4979
