AMNH-A     99.1/1668  Phq10bjw
0.6152     11.1165    11.2866    BA
0.233      16.7376    11.8931    ST
0.1845     23.8937    15.2975    IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
-2.0459    17.6044    14.0518    R_M3D
-2.4427    20.3335    15.1429    R_M12
-2.2284    23.1095    16.078     R_MP3
-1.4574    25.1155    16.9695    R_PMI
5.1949     11.886     10.6186    L_PG
6.0059     14.7897    10.1891    L_ZTI
2.8599     17.7553    13.6495    L_M3D
3.1791     20.4795    14.7899    L_M12
2.9571     23.2526    15.6532    L_MP3
2.1686     24.9646    16.7406    L_PMI
1.0711     27.092     17.402     O1
2.6949     15.7379    4.5111     O2
-3.2561    15.618     5.1734     O3
0.4301     7.0717     6.6544     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































4.4296     18.3744    10.9008    LZYGINF
4.7056     18.2286    10.7948
4.833      18.0558    10.7047
4.9411     17.8926    10.6357
5.0653     17.688     10.6334
5.1861     17.5699    10.6468
5.2633     17.3803    10.6609
5.3352     17.237     10.6861
5.4268     16.9897    10.7033
5.4945     16.8515    10.7071
5.5324     16.677     10.7143
5.5625     16.4768    10.6951
5.6505     16.3241    10.6682
5.7023     16.1321    10.6478
5.7678     15.9747    10.6278
5.847      15.8159    10.589
5.8645     15.6449    10.554
5.8638     15.5123    10.5174
5.8619     15.3495    10.4892
5.8959     15.1348    10.4537
5.9507     15.0071    10.3833
5.9906     14.7714    10.2121


















































































































































































-2.0696    17.7165    14.024     R-ALV
-2.1652    17.855     14.0952
-2.2238    17.9363    14.2179
-2.2958    18.12      14.2974
-2.3726    18.292     14.3567
-2.4142    18.4336    14.4908
-2.4484    18.6885    14.5534
-2.4486    18.8238    14.6298
-2.437     18.9731    14.7392
-2.4747    19.1556    14.7782
-2.484     19.3191    14.8289
-2.5051    19.4861    14.893
-2.5076    19.651     14.9251
-2.5001    19.8125    14.9599
-2.4765    19.9294    15.043
-2.472     20.1427    15.0782
-2.4153    20.338     15.1264
-2.3713    20.4581    15.1999
-2.3326    20.7031    15.2913
-2.3099    20.8351    15.3923
-2.3261    21.0052    15.466
-2.2851    21.3403    15.5909
-2.2224    21.5237    15.6462
-2.197     21.7684    15.7084
-2.1818    21.9191    15.8189
-2.1813    22.1279    15.8942
-2.1477    22.304     16.0279
-2.167     22.4781    16.062
-2.1814    22.6994    16.11
-2.2245    22.8969    16.08
-2.2948    23.1109    16.0099
-2.3099    23.2588    16.0601








































































































































































2.8165     17.6711    13.5952    L-ALV
2.9377     17.8283    13.586
3.0739     17.921     13.7341
3.1571     18.0575    13.8615
3.2123     18.2118    13.9432
3.2507     18.3415    13.9836
3.2942     18.4913    14.0736
3.3284     18.686     14.144
3.3383     18.8808    14.2271
3.3492     19.0806    14.2877
3.3535     19.2144    14.358
3.3533     19.3905    14.4376
3.3355     19.5277    14.5155
3.3569     19.6838    14.5757
3.3804     19.8792    14.5814
3.3367     20.0753    14.6392
3.2945     20.2654    14.7093
3.2291     20.4783    14.7482
3.1785     20.6189    14.8301
3.1613     20.7917    14.8962
3.1532     20.9834    14.9418
3.1477     21.103     15.0252
3.1379     21.2689    15.0733
3.0941     21.4413    15.1211
3.0505     21.5605    15.198
3.0003     21.7034    15.2767
2.9791     21.8305    15.3876
2.9543     22.0413    15.4148
2.9324     22.2037    15.4545
2.9199     22.3284    15.5006
2.9105     22.5195    15.488
2.9244     22.6747    15.5492
2.9381     22.8206    15.6183
2.9524     22.9702    15.6429
2.961      23.1178    15.6912
2.9626     23.2136    15.7108
