UCMVZ      81571      Phu48stv
16.1506    7.3843     13.9519
16.0852    7.3245     13.816
16.0345    7.2907     13.6423
15.9922    7.2586     13.5202
15.9633    7.2055     13.3316
15.8929    7.1412     13.1504
15.8661    7.1075     13.0187
15.879     7.0857     12.8915
15.8595    7.0138     12.7124
15.843     6.9304     12.5685
15.8599    6.8852     12.3989
15.8923    6.8323     12.2934
16.0129    6.8001     12.2052
16.1251    6.7076     12.0785
16.2597    6.6939     12.0248
16.4187    6.6837     11.979
16.5466    6.6845     11.9421
16.6969    6.7424     11.9257
16.8552    6.7516     11.917
17.0035    6.8302     11.9371
17.1143    6.926      11.934
17.2249    6.9717     11.9394
17.3731    7.0574     11.9513
17.5687    7.0875     11.9847








































































































































































5.6712     6.0038     15.4885    OP
7.5313     7.2971     15.3225    BA
12.7514    10.6939    13.8361    ST
19.3833    14.883     13.0042    IV
5.62       11.0401    14.6981    R_PG
6.6653     13.8048    13.019     R_ZTI
12.8946    13.68      14.5733    R_M3D
15.5204    15.5485    14.3088    R_M12
18.0728    16.9536    13.9929    R_MP3
19.8578    17.114     13.9082    R_PMI
10.4224    3.9714     15.227     L_PG
13.3589    3.8717     13.5746    L_ZTI
15.6802    9.8783     14.9858    L_M3D
18.3087    11.4359    14.6685    L_M12
20.8591    13.0539    14.3071    L_MP3
22.0337    14.3566    13.8589    L_PMI
22.6263    17.1769    13.7745    O1
9.8141     6.0657     7.1397     O2
5.9688     13.517     12.2951    O3
3.4643     3.364      13.3238    O4




















































































































































































11.2168    13.9518    12.0249    RZYGINF
11.0481    14.0312    11.8547
10.8403    14.0688    11.7611
10.6642    14.082     11.7096
10.5453    14.1052    11.676
10.3575    14.1278    11.6597
10.1976    14.1027    11.7247
10.0324    14.2288    11.6633
9.8999     14.2303    11.7247
9.6765     14.2398    11.8124
9.4835     14.3011    11.8692
9.3027     14.3124    12.0096
9.1332     14.3177    12.1533
9.083      14.2464    12.2288
9.0532     14.1778    12.3145
8.9219     14.1356    12.4227
8.8756     14.0668    12.5061
8.7782     13.9616    12.5945
8.5843     13.9534    12.6849
8.454      13.9034    12.7649
8.2419     13.8946    12.8313
8.0384     13.8681    12.9217
7.822      13.9363    12.9787
7.6271     14.0531    12.9557
7.4667     14.065     12.9669
7.2482     14.0412    12.9888
7.1014     14.0029    12.9362
6.9383     13.9904    12.9169
6.8062     13.8896    12.9827
6.6872     13.8321    13.0332
6.5654     13.7671    13.0245









































































































































































15.0381    7.584      12.1461    LZYGINF
14.9747    7.3166     12.1092
14.956     7.1333     12.1236
14.931     6.9098     12.138
14.9486    6.756      12.1675
14.9158    6.6198     12.2321
14.9082    6.4439     12.3098
14.9042    6.3449     12.4013
14.8782    6.2177     12.467
14.753     6.188      12.6093
14.6263    6.0718     12.7754
14.5398    6.0318     12.8738
14.4611    5.9403     12.9614
14.4326    5.9155     12.9863
14.3868    5.8626     13.0118
14.3216    5.7844     13.0607
14.2169    5.6809     13.1457
14.1309    5.5453     13.2408
14.0506    5.3468     13.3384
14.0533    5.2074     13.3941
14.0453    5.0303     13.4132
13.9515    4.8891     13.4931
13.8628    4.7538     13.4802
13.8295    4.6483     13.4498
13.764     4.5294     13.4696
13.6946    4.4338     13.4826
13.6729    4.3404     13.481
13.6475    4.2878     13.4834
13.5648    4.1461     13.5315
13.5041    4.0605     13.5304
13.3263    3.9039     13.605









































































































































































12.8835    13.7387    14.6498    R-ALV
12.948     13.9552    14.6441
13.1177    14.161     14.6297
13.249     14.3397    14.4887
13.5111    14.5351    14.4555
13.732     14.7206    14.4948
14.0458    14.8184    14.4167
14.1932    14.9069    14.4145
14.3374    15.0517    14.4217
14.7134    15.1596    14.3912
14.8191    15.2268    14.3744
14.9746    15.4348    14.3695
15.211     15.5082    14.3453
15.5296    15.6383    14.21
15.8034    15.7341    14.2912
15.936     15.8233    14.1481
16.381     16.0778    14.1138
16.6032    16.1125    14.0219
16.8774    16.2978    14.0172
17.1621    16.4439    14.1066
17.3412    16.6149    14.0913
17.4752    16.7806    14.0596
17.5981    16.887     14.0619
17.8076    17.0378    13.9249
18.0683    17.0601    13.8738











