MNHN       1962.1468  Tg29stv





























































































































































-1.2969    12.036     11.8838    R-ALV
-1.5351    12.4146    11.8971
-1.6716    12.7008    11.9362
-1.7788    13.0996    12.0139
-1.7873    13.4474    12.0087
-1.8068    13.8349    11.9988
-1.802     14.167     11.8909
-1.7482    14.4912    11.7613
-1.7475    14.9101    11.7142
-1.7362    15.1338    11.6898
-1.7301    15.3753    11.6354
-1.6639    15.6306    11.6559
-1.557     15.862     11.6077
-1.4839    16.1317    11.6302
-1.436     16.388     11.6093
-1.4329    16.675     11.5424
-1.3872    16.8368    11.4519
-1.3167    17.0066    11.3365






















































































































































































2.3477     11.9321    11.9237    L-ALV
2.6159     12.2531    11.9531
2.7226     12.4467    11.8958
2.8228     12.7964    11.9524
2.8946     13.0874    11.9894
2.9604     13.4326    11.9082
2.986      13.6669    11.8871
3.0064     13.9925    11.8469
2.9842     14.2389    11.8342
2.9517     14.5131    11.764
2.9518     14.7082    11.7483
2.9702     14.9301    11.7168
2.9793     15.279     11.6848
2.9599     15.4951    11.6613
2.85       15.8265    11.606
2.8261     16.0542    11.5946
2.7872     16.2902    11.601
2.7957     16.534     11.505
2.7834     16.6976    11.4613
2.7648     16.8888    11.4308
2.7326     16.9922    11.3613
