UWMA       MP223      Ppw2stv
8.6642     22.8715    9.5096
8.6752     23.0644    9.5389
8.7063     23.1884    9.6153
8.6987     23.4373    9.5887
8.7        23.6292    9.599
8.6866     23.8207    9.6886
8.7127     24.0227    9.7271
8.803      24.2096    9.7835
8.8529     24.426     9.8615
8.9043     24.6509    9.8626
8.9092     24.8952    9.8892
8.9447     25.0812    9.8998
9.0486     25.2752    9.8357
9.0795     25.4692    9.837
9.1412     25.751     9.8169
9.1459     25.972     9.8625
9.2186     26.1471    9.891
9.2773     26.2725    9.8886
9.269      26.4397    9.8369
9.2583     26.5556    9.8651
















































































































































































14.067     21.6581    9.6555     L-ALV
14.1661    21.8308    9.7646
14.2097    22.1089    9.8117
14.3156    22.3248    9.8899
14.2639    22.7314    9.9077
14.277     23.039     9.9817
14.303     23.1897    10.0394
14.3221    23.4679    10.053
14.3563    23.5777    10.0327
14.2031    23.9397    10.0041
14.1959    24.1558    10.062
14.1609    24.3067    10.2226
14.162     24.6329    10.1566
14.0112    25.049     10.0613
13.9341    25.3199    10.1049
13.8878    25.531     10.213
13.8753    25.785     10.2231
13.8573    25.9326    10.2366
13.869     26.0577    10.2176
13.9001    26.2144    10.1442
13.846     26.3667    10.1534
