TMP        AZ784      Phu111sf
11.3632    13.9991    11.3158
11.2341    13.7866    11.4353
11.1861    13.6154    11.553
11.1436    13.3186    11.7145
11.0403    12.996     11.8428
10.9551    12.7991    11.9033
10.8573    12.5879    11.9778
10.6821    12.3405    12.0506
10.6433    12.0907    12.086
10.5812    11.9702    12.0771
10.5707    11.781     12.115
10.5219    11.6231    12.0666





















































































































































































20.195     15.7213    11.2195    LZYGINF
20.2982    15.4548    11.1116
20.4932    15.2239    10.9261
20.6615    15.0745    10.8735
20.8871    14.8828    10.8801
21.0918    14.6363    11.0225
21.4124    14.2677    11.2615
21.4322    14         11.4356
21.5297    13.8225    11.5405
21.5991    13.5891    11.6512
21.6561    13.3753    11.7032
21.7179    13.2086    11.7543
21.8453    12.932     11.8476
21.9657    12.7937    11.872
22.0438    12.6332    11.8841
22.1615    12.4336    11.8615
22.2084    12.2453    11.8216
22.2215    12.0917    11.8435






















































































































































































13.5651    17.068     14.0003    R-ALV
13.4572    17.3911    13.9263
13.3755    17.8045    13.9502
13.3883    18.1548    13.9079
13.4142    18.3966    13.911
13.4177    18.6935    13.9611
13.4108    18.9327    13.9496
13.3718    19.1596    13.9105
13.4248    19.4259    13.9042
13.5063    19.6399    13.8973
13.5305    19.8151    13.9077
13.5477    20.0669    13.8929
13.5311    20.2574    13.881
13.5559    20.5621    13.888
13.6178    20.9284    13.7771
13.6093    21.1781    13.7587
13.634     21.3944    13.8045
13.6421    21.709     13.781
13.6538    21.9871    13.7975
13.6903    22.1955    13.775
13.7697    22.3718    13.713



















































































































































































18.622     17.0935    14.143     L-ALV
18.76      17.4231    14.1173
18.8701    17.7688    14.0395
18.9138    18.1295    13.9978
18.9061    18.5182    13.9532
18.8875    18.8327    13.9971
18.906     19.1247    13.9574
18.8613    19.434     13.9664
18.8481    19.8515    13.8321
18.7434    20.0919    13.8773
18.6555    20.4472    13.8897
18.6713    20.7679    13.8417
18.6016    21.1418    13.7078
18.5493    21.4809    13.777
18.5297    21.8032    13.7805
18.4449    22.0666    13.7625
18.4704    22.2786    13.7206
18.4514    22.4355    13.7078
18.4204    22.6397    13.6559
