NMNH       269798     Pygn5stv
4.4108     8.4807     7.151
4.4714     8.3241     7.1703
4.4689     8.1359     7.1948
4.4926     8.0001     7.1861
4.5411     7.758      7.1824
4.5343     7.581      7.1812
4.6252     7.4224     7.203
4.7096     7.2915     7.173
4.7352     7.1272     7.1361
4.8055     6.9972     7.0382
4.8319     6.9243     7.0144























































































































































































-0.5904    8.0534     7.9125     R-ALV
-0.7058    8.3054     7.9406
-0.7637    8.5592     7.9878
-0.8099    8.8008     8.0269
-0.8018    9.1168     8.0939
-0.828     9.2951     8.0419
-0.7887    9.4819     8.0568
-0.8377    9.8403     7.9955
-0.798     10.0566    7.9788
-0.7397    10.2626    7.9562
-0.7101    10.3544    7.9339
-0.6843    10.4899    7.9048
-0.6283    10.5936    7.8925
-0.528     10.8462    7.8182
-0.406     11.0721    7.7558

























































































































































































2.6395     7.7457     7.8314     L-ALV
2.7696     7.9971     7.8377
2.8697     8.2922     7.8774
2.9417     8.553      7.9594
2.9623     8.8429     8.057
3.0162     9.0875     7.9976
2.999      9.2862     8.0418
3.0236     9.5409     8.0322
3.0637     9.8634     7.8786
3.0235     10.0681    7.8593
2.9812     10.3608    7.7618
2.9489     10.5174    7.7699
2.9289     10.6504    7.7212
2.8802     10.8234    7.6309
