TMP        AZ 1033    Phu119stv
20.031     12.0649    10.3837
20.1119    11.8565    10.5801
20.2241    11.6345    10.7344
20.2767    11.5427    10.8036
20.3702    11.2724    10.9282
20.5457    11.1043    11.0465
20.6469    10.8575    11.1659
20.8055    10.8011    11.2019
20.8937    10.4836    11.3415
20.9178    10.3842    11.3724
20.945     10.1863    11.4304


























































































































































































14.674     12.4735    11.8457    R-ALV
14.4685    12.8454    11.8787
14.3084    13.2123    11.798
14.257     13.606     11.7501
14.1425    14.1148    11.5727
14.1563    14.4306    11.492
14.2125    14.7357    11.3317
14.2259    15.0357    11.2605
14.2804    15.3526    11.1246
14.3635    15.6435    10.9613
14.3808    15.9557    10.8409
14.4526    16.1963    10.8168
14.4707    16.5104    10.72
14.4482    16.6579    10.5325
14.4775    16.7914    10.4334

























































































































































































18.0471    12.4746    11.8065    L-ALV
18.1913    12.6207    11.7692
18.3502    12.7896    11.681
18.4602    13.0213    11.6634
18.531     13.3626    11.6225
18.5499    13.6761    11.4999
18.5594    13.9178    11.4419
18.5669    14.1204    11.4
18.5851    14.3309    11.3146
18.5146    14.6415    11.2341
18.4633    14.8999    11.0781
18.4475    15.1553    10.8946
18.4112    15.378     10.9349
18.3147    15.5852    10.8194
18.2503    15.8189    10.7056
18.2248    16.1156    10.5933
18.19      16.2992    10.5407
18.1673    16.4843    10.4089
18.1436    16.6239    10.3711
18.1031    16.8099    10.2542
