AMNH       21650      phu5stv
12.3053    16.217     11.081
12.4787    16.2418    11.0348
12.6098    16.2214    11.0684
12.7686    16.3108    11.0073
12.8455    16.5217    10.9207
12.9484    16.6217    10.9082
13.1149    16.7433    10.9926
13.2371    16.9009    10.9689
13.4027    16.9867    10.9546
13.5377    17.1055    10.8841
13.6619    17.1667    10.9149











































































































































































13.5129    10.966     11.4866    L-ALV
13.705     11.0056    11.4983
13.8171    11.0859    11.5344
14.0011    11.1488    11.506
14.1967    11.2561    11.5387
14.3728    11.3812    11.5358
14.502     11.5878    11.5053
14.5737    11.7575    11.5881
14.6912    11.8968    11.5244
14.7952    12.0059    11.5167
14.8791    12.1289    11.5191
15.007     12.2543    11.5334
15.0934    12.3435    11.5345
15.1847    12.495     11.5333
15.2306    12.6304    11.5561
15.2655    12.7298    11.5783
15.3227    12.8305    11.5366
15.4294    12.9417    11.5113
15.5357    13.0634    11.5037
15.6327    13.1409    11.4846
15.7229    13.2415    11.4996
15.7678    13.3912    11.4455
15.737     13.5019    11.3867
15.8004    13.664     11.4186
15.906     13.801     11.3178
16.0143    13.8938    11.3578
16.1323    14.0473    11.3731
16.2144    14.1868    11.396
16.2932    14.3101    11.3869
16.3561    14.4426    11.3706
16.4612    14.5813    11.3076
16.5408    14.7281    11.2582
16.5714    14.8518    11.311
