UWMA       ZA 72      Phu61stv
11.3922    4.1931     9.6205
11.3953    4.0824     9.5642
11.4111    3.8502     9.5476
11.3641    3.6861     9.4708
11.2771    3.4831     9.41
11.0913    3.2397     9.3973
10.9825    3.0894     9.2908
10.9239    2.9483     9.1733
10.7981    2.8755     9.1179
10.6861    2.6925     8.9999

















































































































































































6.5917     10.7637    12.311     R-ALV
6.6028     11.0076    12.3121
6.6491     11.3346    12.4435
6.7245     11.5598    12.5039
6.8085     11.7271    12.6249
6.9263     11.9674    12.6256
7.0788     12.1076    12.7194
7.19       12.239     12.8194
7.2663     12.369     12.8953
7.4301     12.6148    12.868
7.5435     12.711     13.0134
7.622      12.8372    13.0251
7.7156     12.9942    13.075
7.8722     13.1641    13.2159
8.0463     13.3299    13.3398
8.1901     13.4023    13.4348
8.29       13.4673    13.5252
8.4473     13.6092    13.6173
8.6424     13.8038    13.6741
8.7021     13.876     13.7423
8.9003     14.008     13.7666
9.1272     14.0681    13.8737
9.275      14.2362    14.0425
9.3302     14.4083    14.0612
9.4441     14.486     14.1365
9.5834     14.6706    14.2772
9.6861     14.8448    14.3262
9.843      15.0388    14.2815
9.9834     15.2122    14.3255











































































































































































10.8214    7.853      12.4577    L-ALV
11.0701    7.9116     12.5203
11.2896    8.0036     12.632
11.5322    8.1046     12.7202
11.7549    8.1917     12.8399
11.9596    8.3879     12.8949
12.1119    8.5894     12.9465
12.4012    8.8697     13.1906
12.5424    9.0286     13.2417
12.7105    9.1842     13.2971
12.9506    9.385      13.3907
13.0728    9.7398     13.5464
13.1551    9.9672     13.7456
13.3659    10.228     13.8159
13.4873    10.4199    13.8379
13.624     10.5879    13.9263
13.6453    10.8162    14.0784
13.7536    10.9749    14.176
13.9779    11.1698    14.2855
14.1419    11.3562    14.3508
14.2346    11.4905    14.4621
14.3346    11.6207    14.4747
14.426     11.8179    14.645
