UWMA       ZA 663     Phu87


















































































































































































13.9685    18.5178    13.497     R-ALV
14.0288    18.8499    13.4586
14.1476    19.0666    13.5058
14.2806    19.2419    13.5329
14.4497    19.4295    13.5564
14.6975    19.5707    13.5971
14.8529    19.7478    13.6069
15.0966    20.0724    13.6638
15.2988    20.346     13.741
15.5561    20.4975    13.7881
15.7299    20.5586    13.9245
15.9161    20.6911    13.9434
16.0939    20.8352    13.9633
16.3642    21.1236    13.8774
16.5848    21.2943    13.8153
16.8015    21.5303    13.8291
17.0037    21.8242    13.8599
17.159     22.0338    13.9449
17.3343    22.2124    14.0133
17.4326    22.3121    14.0214
17.573     22.4487    14.0127



















































































































































































17.6655    15.1421    13.6116    L-ALV
17.8512    15.2112    13.6384
18.1364    15.3737    13.7029
18.2864    15.4612    13.7131
18.5498    15.6687    13.6916
18.6581    15.8111    13.7255
18.8336    16.0395    13.7557
19.0956    16.2888    13.8178
19.3281    16.4957    13.8053
19.559     16.7124    13.8474
19.7051    17.0343    13.7937
19.8113    17.2259    13.8642
19.9147    17.3711    13.8107
20.1226    17.6135    13.9776
20.2989    17.927     13.9884
20.4869    18.116     14.0114
20.6842    18.2952    14.0873
20.9416    18.5111    14.1856
21.1342    18.746     14.2368
21.2127    18.8507    14.267
21.3503    18.9974    14.2584
21.4062    19.1284    14.2789
