FSM        15831      Phh28stv
-4.0433    11.8983    10.0518
-4.1737    12.1144    10.0549
-4.2583    12.2808    10.0919
-4.2739    12.3684    10.1133















































































































































































4.4889     13.425     13.6187    LTEMFOS
4.5376     13.259     13.5144
4.6076     13.2183    13.3452
4.6692     13.0656    13.202
4.6864     12.9607    13.0338
4.6742     12.8282    12.8821
4.7048     12.7368    12.6393
4.7503     12.6674    12.4108
4.7654     12.552     12.1755
4.8192     12.4399    11.842
4.8443     12.3356    11.6485
4.8719     12.2305    11.4547
4.9001     12.1272    11.243
4.9393     12.1097    11.0366
5.0165     12.0557    10.8236
5.1411     12.004     10.684
5.2568     11.9903    10.5835
5.3187     12.0665    10.4389
5.4445     12.1569    10.2811
5.5342     12.26      10.193
5.7724     12.6602    10.1201
5.7641     12.8014    10.1277
5.8544     12.9508    10.1312
5.9291     13.1849    10.1701
5.9144     13.3492    10.2284















































































































































































1.1255     8.1096     11.8885    OP
0.9527     10.1464    11.8806    BA
0.8479     15.0551    10.8798    ST
0.4136     20.2264    11.4154    IV
-3.0122    10.0802    10.9219    R_PG
-4.4768    12.0707    9.8848     R_ZTI
-1.3651    15.2142    11.7294    R_M3D
-2.0027    17.9015    12.1112    R_M12
-2.0426    20.4951    12.1179    R_MP3
-1.4938    21.7943    12.105     R_PMI
4.9213     10.5616    11.5781    L_PG
6.434      12.6074    10.7554    L_ZTI
2.5944     15.3908    12.0178    L_M3D
2.851      18.0241    12.4976    L_M12
2.5535     20.5995    12.614     L_MP3
1.7153     21.9927    12.3661    L_PMI
0.6977     23.8687    12.2727    O1
-1.492     12.6894    5.0878     O2
6.6649     12.6748    10.0358    O3
0.4264     5.2008     9.7481     O4




















































































































































































-2.7674    15.3252    10.1039    RZYGINF
-2.9088    15.1397    9.961
-3.1095    14.972     9.901
-3.3104    14.796     9.8856
-3.6307    14.596     9.856
-3.7009    14.4213    9.8836
-3.8218    14.2058    9.907
-3.9618    14.0447    9.9285
-4.1042    13.7968    9.9542
-4.1418    13.5237    9.9622
-4.1438    13.3       9.9812
-4.0939    13.133     9.9799
-4.1238    12.9478    9.9624
-4.1667    12.7606    9.9568
-4.2491    12.5343    9.9192
-4.3103    12.3629    9.9023
-4.4022    12.2342    9.8833
-4.4993    12.1146    9.8538
-4.5139    12.0341    9.842





















































































































































































4.4087     15.8012    10.7323    LZYGINF
4.5762     15.6487    10.6756
4.8213     15.4954    10.6426
5.1262     15.3125    10.6728
5.3228     15.2163    10.6973
5.4854     15.1416    10.7422
5.6101     14.9357    10.791
5.7214     14.6245    10.8629
5.8081     14.3142    10.8806
5.8695     14.1226    10.9096
5.868      13.9108    10.9204
5.8477     13.6691    10.9183
5.9187     13.4836    10.8864
5.9694     13.2957    10.8882
6.1147     13.1437    10.8646
6.1924     13.0009    10.8417
6.2516     12.8238    10.8191
6.3227     12.7203    10.8156
6.417      12.6085    10.7892





















































































































































































-1.3992    15.2343    11.7096    R-ALV
-1.6151    15.5163    11.7061
-1.8101    16.0284    11.6764
-1.8892    16.2618    11.7168
-1.9444    16.4338    11.7963
-1.9934    16.7033    11.8536
-2.0243    16.9361    11.8909
-2.0758    17.2121    11.8906
-2.0717    17.417     11.9414
-2.0516    17.6013    11.9705
-2.0145    17.7772    12.0681
-2.0297    17.9999    12.0947
-2.0316    18.2403    12.1463
-2.059     18.5007    12.1624
-2.048     18.789     12.1226
-2.0271    19.0217    12.1689
-2.048     19.2468    12.1758
-2.081     19.446     12.2172
-2.0713    19.723     12.2885
-2.0643    19.9563    12.2898
-2.082     20.1812    12.2576
-2.0097    20.4326    12.1673


















































































































































































2.4091     15.3453    12.1107    L-ALV
2.6058     15.5294    12.15
2.7999     15.9304    12.1595
2.8793     16.2809    12.2119
2.9068     16.5268    12.2333
2.918      16.6883    12.2738
2.9497     16.9213    12.3113
2.9723     17.1935    12.287
2.9489     17.448     12.3956
2.9183     17.7337    12.4289
2.7923     18.0396    12.5122
2.7769     18.3003    12.5334
2.7625     18.5779    12.5045
2.7456     18.8008    12.5037
2.7005     19.0994    12.5018
2.6323     19.3413    12.5026
2.6232     19.6106    12.5183
2.6342     19.8722    12.5461
2.6317     20.0641    12.5808
2.6198     20.2728    12.5773
2.5842     20.4638    12.595
2.5424     20.6088    12.5855
2.5279     20.7222    12.5623
