FSM        77242      Phu197sf
7.4276     11.728     11.2111    L_ZTI
3.2953     15.954     13.9371    L_M3D
2.9695     19.0242    14.0632    L_M12
2.3357     21.8385    14.3316    L_MP3
1.5279     23.258     14.2795    L_PMI
0.1146     24.749     14.0398    O1
-2.5074    10.7227    5.5806     O2
7.2194     12.2288    9.9953     O3
1.726      2.5459     10.7334    O4




















































































































































































-3.1666    14.3862    11.3679    RZYGINF
-3.3327    14.1376    11.2255
-3.486     13.907     11.1538
-3.9319    13.3286    11.2215
-4.0601    13.0754    11.3311
-4.1926    12.8607    11.4322
-4.3208    12.6073    11.55
-4.357     12.4611    11.5781
-4.4194    12.2051    11.6273
-4.4361    11.9826    11.6567
-4.5152    11.7819    11.6811
-4.6168    11.57      11.7104
-4.7518    11.3814    11.7318
-4.7814    11.1816    11.775
-4.8082    11.0161    11.818
-4.8714    10.8137    11.8115
-4.833     10.6411    11.8233
-4.8413    10.4542    11.7798
-4.8808    10.285     11.7428
-4.8227    10.1581    11.7196




















































































































































































4.4688     15.5396    10.9604    LZYGINF
4.7187     15.2577    10.8856
4.936      15.1111    10.7771
5.2353     14.7925    10.7697
5.6196     14.5686    10.8838
5.9746     14.2846    11.1372
6.0832     13.9759    11.2033
6.3211     13.685     11.2593
6.4565     13.3495    11.2608
6.6098     12.9412    11.3175
6.7845     12.6314    11.2844
6.8996     12.4534    11.3353
7.127      12.3103    11.4695
7.2407     12.1186    11.4259
7.3062     11.9193    11.4015
7.31       11.8266    11.3604
7.3378     11.6657    11.2825























































































































































































-1.8727    15.3541    14.0578    R-ALV
-2.1419    15.7303    14.0381
-2.2486    16.0318    14.0563
-2.2936    16.6053    14.1087
-2.3109    16.9974    14.1166
-2.3425    17.3436    14.1731
-2.3975    17.7411    14.222
-2.3583    18.1392    14.2262
-2.3381    18.557     14.2547
-2.3425    18.7791    14.3161
-2.3872    19.0232    14.3096
-2.3307    19.2783    14.2973
-2.2832    19.5022    14.3333
-2.3302    19.7783    14.3872
-2.3665    19.9855    14.3903
-2.3315    20.267     14.5135
-2.4271    20.4514    14.4677
-2.4932    20.6447    14.4601
-2.5471    20.9082    14.4034
-2.5544    21.1326    14.4002




















































































































































































3.2432     16.0302    13.9974    L-ALV
3.3733     16.2988    13.9884
3.444      16.6525    13.9344
3.4596     17.0043    13.8919
3.4186     17.2369    13.8756
3.3213     17.5985    13.8713
3.2502     18.0559    13.9589
3.2362     18.3658    13.9695
3.1553     18.7379    13.9998
3.0325     19.0036    13.9289
2.9374     19.3324    13.9642
2.8741     19.6481    14.0712
2.7492     19.986     14.0889
2.6255     20.221     14.0814
2.592      20.4326    14.1038
2.5705     20.7318    14.1698
2.5175     21.0017    14.2053
2.4852     21.2694    14.2166
2.4681     21.5081    14.2315
2.4054     21.6534    14.2888
2.3434     21.9318    14.2836
