LSZT       R28        Phu173sf






















































































5.2908     10.9263    14.1245    LTEMFOS
5.3299     10.8471    13.9866
5.3613     10.8317    13.8193
5.4183     10.8084    13.6445
5.4559     10.705     13.4245
5.4578     10.6347    13.2517
5.4837     10.5699    13.0201
5.4621     10.5005    12.8454
5.4455     10.4366    12.7121
5.4469     10.292     12.5251
5.4122     10.2636    12.3154
5.3783     10.0953    11.9994
5.3633     10.0334    11.8316
5.362      9.9645     11.6852
5.3558     9.8758     11.5206
5.3757     9.8047     11.3733
5.3949     9.7653     11.203
5.4292     9.7516     11.0257
5.4487     9.7455     10.8713
5.4856     9.7721     10.774
5.5383     9.8332     10.6442
5.6003     9.9439     10.5389
5.6955     10.0802    10.445
5.7993     10.3168    10.4029
5.7716     10.4716    10.4042
5.8205     10.6379    10.4267
5.9198     10.8944    10.46
5.9006     10.9958    10.4853
5.9804     11.1528    10.5332











































































































































































1.4156     4.5833     13.1562    OP
1.6091     7.0317     13.4043    BA
1.6489     12.9238    12.6276    ST
1.8332     19.8171    13.0763    IV
-3.0035    7.2797     12.9014    R_PG
-4.3967    9.6445     12.0515    R_ZTI
-0.7766    14.0852    13.8134    R_M3D
-0.9607    16.8252    14.1056    R_M12
-0.8316    19.5135    14.263     R_MP3
-0.0318    21.236     14.1061    R_PMI
5.9848     7.0824     12.4946    L_PG
7.4465     9.4733     11.4465    L_ZTI
4.1171     13.8537    13.5466    L_M3D
4.5979     16.6146    13.7325    L_M12
4.5569     19.51      13.8905    L_MP3
3.8508     21.2176    13.7357    L_PMI
2.4235     23.5075    14.3379    O1
-2.2689    9.6159     5.7746     O2
7.5456     9.3635     10.7943    O3
0.5455     1.7314     10.1924    O4




















































































































































































-2.4272    13.9071    11.9559    RZYGINF
-2.508     13.7111    11.8467
-2.6175    13.5394    11.7524
-2.7935    13.4276    11.6988
-2.9331    13.2894    11.6861
-3.1067    13.1086    11.7221
-3.2635    12.9303    11.7958
-3.3868    12.7401    11.8597
-3.4243    12.5368    11.9305
-3.4548    12.2958    11.9961
-3.4981    12.096     12.051
-3.5185    11.8612    12.1005
-3.5455    11.6859    12.1158
-3.6158    11.4802    12.1575
-3.7154    11.3097    12.1462
-3.8024    11.093     12.163
-3.8825    10.9248    12.175
-4.0137    10.6767    12.1862
-4.1028    10.4697    12.173
-4.1642    10.3499    12.1369
