TMP        STS 254a   Ppb10stv
14.7674    22.1837    7.0559
14.8134    22.297     6.9891
14.8206    22.3487    6.9631
14.8879    22.4727    6.8307




















































































































































































18.6102    18.9806    9.0845     L-ALV
18.7398    19.1745    9.0236
18.8624    19.3514    8.912
18.9612    19.5037    8.8263
19.0404    19.6981    8.6779
19.0771    19.8651    8.592
19.1858    20.0113    8.463
19.1902    20.3457    8.2388
19.2151    20.556     8.0252
19.1543    20.8274    7.9168
19.1473    21.0745    7.923
19.1888    21.2901    7.7039
19.1091    21.5761    7.5591
18.9671    21.708     7.3987
18.9457    21.8075    7.2892
18.9208    21.9693    7.2484
18.8736    22.1442    7.1229
18.8798    22.1973    7.0101
18.8518    22.2536    6.9068
18.7679    22.3976    6.7005
