KNM        ER 18925   Too16stv





























































































































11.2149    17.0638    11.9       R-ALV
11.3117    17.3884    11.6596
11.4197    17.6432    11.5216
11.5219    17.8685    11.4643
11.6539    18.0775    11.4005
11.81      18.2883    11.3342
11.9367    18.3951    11.2782
12.074     18.5368    11.2894
12.1875    18.7524    11.2626
12.3014    18.9214    11.2175
12.3606    19.0953    11.2466
12.4873    19.2782    11.2032
12.6779    19.5046    11.1843
12.9193    19.7276    11.0715
13.1879    19.8803    11.1187
13.3562    19.9807    11.1655
13.476     20.0757    11.075
13.6506    20.2119    11.0354
13.8619    20.4113    10.8426
14.1042    20.5949    10.758
14.2235    20.7005    10.6607
14.3999    20.8694    10.5501
14.54      21.014     10.4815
14.7078    21.1364    10.4433
14.8581    21.3073    10.375
15.0424    21.5589    10.2371
15.1637    21.7152    10.1973
15.2193    21.8272    10.0875
15.3151    21.9715    10.059











































































































































































15.6678    13.6603    12.6397    L-ALV
16.1001    13.7913    12.5342
16.5265    14.1308    12.361
16.8505    14.3884    12.2028
17.0582    14.7723    11.9814
17.2256    14.8965    11.9735
17.4962    15.1705    11.9014
17.5815    15.3343    11.8385
17.9169    15.5219    11.8203
18.2069    15.9386    11.6143
18.276     16.2121    11.5381
18.4548    16.5404    11.3693
18.7089    16.9883    11.1821
18.8735    17.4595    11.1535
19.0836    17.8503    11.0852
19.2657    18.1402    10.9648
19.5207    18.4556    11.0174
19.746     18.7732    10.9199
19.8238    18.9346    10.8413
19.8929    19.0028    10.8236
