UCMVZ      118062     Phu16
15.149     11.1497    12.758
15.2458    11.2905    12.7859
15.3236    11.3746    12.8133
15.4007    11.4647    12.8533
15.5984    11.6316    12.8103
15.7024    11.7286    12.8547
15.8528    11.853     12.8788
15.923     12.0266    12.9007
16.0091    12.2048    12.988
16.0004    12.3226    12.9241
16.1229    12.4432    12.9433
16.2793    12.7011    12.9874
16.3946    12.7853    12.965
16.5286    12.9932    13.0273
16.5334    13.182     13.0151
16.6388    13.3449    13.0195
16.772     13.4746    13.0628
16.8832    13.6582    13.1125
16.9645    13.8111    13.1612
17.0932    13.8995    13.1409
17.2462    14.0764    13.1773
17.3946    14.2442    13.1138
17.4518    14.3851    13.0972
