UWMA       TP11       Pi2stv
29.0815    -2.5851    8.3859     R_ZTI
26.2572    -0.9731    9.9222     R_M3D
24.1537    -2.0271    9.7175     R_M12
21.986     -1.9433    9.1179     R_MP3
21.3791    -1.5538    8.9193     R_PMI
28.6186    5.7822     8.9632     L_PG
9999       9999       9999       L_ZTI
24.9911    3.0173     9.7083     L_M3D
22.6124    2.5851     9.6394     L_M12
21.0091    1.3073     9.0689     L_MP3
20.7139    0.5648     8.8756     L_PMI
20.3381    0.4276     8.5921     O1
26.46      4.5311     4.5295     O2
29.9276    -2.3817    7.8742     O3
33.7756    4.3643     7.8281     O4




















































































































































































25.9012    -2.393     9.1647     RZYGINF
26.0427    -2.5148    9.0157
26.1432    -2.6154    8.9337
26.2415    -2.7142    8.922
26.4241    -2.8247    8.9564
26.6187    -2.9178    9.062
26.8123    -2.9889    9.0706
27.0516    -2.989     9.0441
27.2161    -2.9562    8.9829
27.4324    -2.8919    8.9049
27.6301    -2.838     8.8375
27.8362    -2.7526    8.7855
28.0242    -2.7339    8.698
28.1523    -2.7009    8.6192
28.3171    -2.6744    8.5864
28.4836    -2.6235    8.5131
28.6043    -2.6145    8.493
28.7457    -2.6004    8.5076
28.9013    -2.5816    8.4714
29.0017    -2.5463    8.4669
29.1526    -2.5456    8.3825



















































































































































































9999       9999       9999       LZYGINF







































































































































































































26.3195    -0.8678    9.8938     R-ALV
26.1299    -1.1809    9.9407
25.795     -1.3934    9.881
25.6092    -1.5203    9.8498
25.3685    -1.6482    9.8117
25.1552    -1.7569    9.847
24.8881    -1.8734    9.7603
24.6044    -1.9363    9.7603
24.3899    -2.0142    9.7079
24.1694    -2.0253    9.6944
23.8961    -2.0569    9.6223
23.6839    -2.1023    9.5276
23.4552    -2.119     9.4983
23.2375    -2.0898    9.4055
23.0039    -2.0552    9.2989
22.6968    -2.0433    9.2351
22.4631    -2.0329    9.123
22.301     -2.0314    9.1224
22.1514    -2.0398    9.052
21.9999    -1.9617    9.0542




















































































































































































24.9988    2.9866     9.8274     L-ALV
24.6014    3.0283     9.7195
24.2447    3.0606     9.7745
23.9635    3.0335     9.8227
23.7132    2.9482     9.8617
23.3509    2.9193     9.709
23.1444    2.8311     9.7095
22.7528    2.6965     9.6899
22.4017    2.4321     9.647
22.1551    2.2709     9.5754
21.7949    1.9401     9.3326
21.6969    1.7888     9.3536
21.4693    1.5961     9.288
21.2989    1.5484     9.1361
21.1344    1.4323     9.0956
20.9774    1.2808     9.0363
