AMNH    169432  phu1adr1
8.4915  21.3872 -16.7013
8.5195  21.3305 -16.5405
8.4322  21.3908 -16.3674
8.4541  21.3907 -16.2804
8.4488  21.4159 -16.0943






















































































































































5.8847  16.5053 -16.1153  RTEMFOS
5.8481  16.5245 -15.9088
5.7541  16.5862 -15.8183
5.7045  16.6295 -15.6996
5.7158  16.6295 -15.4977
5.6438  16.6837 -15.3949
5.6249  16.724  -15.1855
5.5882  16.7461 -15.0908
5.5341  16.7769 -14.8719
5.4837  16.8213 -14.7613
5.4311  16.8979 -14.6508
5.437   16.855  -14.4825
5.4331  16.8823 -14.3655
5.3823  16.8927 -14.2255
5.3652  16.9118 -14.0561
5.314   16.9152 -13.9074
5.292   16.9362 -13.8346
5.3371  16.93   -13.7193
5.2723  16.9213 -13.6332
5.2377  16.8973 -13.5071
5.2159  16.8899 -13.4069
5.1634  16.8737 -13.2498
5.2099  16.8258 -13.1029
5.2205  16.8074 -13.0061
5.1588  16.7667 -12.9149
5.1726  16.7332 -12.8214
5.1784  16.6543 -12.6669
5.1066  16.5219 -12.5329
5.1319  16.397  -12.442
5.1844  16.3241 -12.4393
5.1797  16.2445 -12.4128
5.1704  16.13   -12.3632
5.2538  16.0065 -12.3758
5.3307  15.8835 -12.379
5.4583  15.7368 -12.437
5.5986  15.6541 -12.4891
5.7115  15.52   -12.5357
5.8011  15.4595 -12.6044
5.8985  15.3389 -12.6953

































































































































































12.5825 23.1979 -16.7762  LTEMFOS
12.6054 23.2304 -16.6507
12.6126 23.2645 -16.5311
12.5805 23.3101 -16.3797
12.5344 23.36   -16.1809
12.4968 23.3939 -16.0528
12.4852 23.4433 -15.9492
12.4768 23.4749 -15.8296
12.4318 23.549  -15.7364
12.4204 23.5786 -15.5936
12.4126 23.5592 -15.4808
12.3821 23.6273 -15.3896
12.395  23.63   -15.3117
12.3711 23.6561 -15.1855
12.3565 23.6574 -15.0503
12.2926 23.6976 -14.91
12.2941 23.7563 -14.7657
12.2518 23.8073 -14.6717
12.2194 23.8152 -14.5515
12.1847 23.8206 -14.4644
12.161  23.8408 -14.3331
12.1406 23.8468 -14.2937
12.1178 23.8779 -14.1745
12.0893 23.9032 -14.0776
12.0909 23.93   -13.9547
12.0392 23.9813 -13.7984
12.0475 23.9624 -13.6339
12.0416 24.0124 -13.4229
12.0658 24.0401 -13.3011
12.0736 24.0757 -13.2055
12.1475 24.0352 -13.0695
12.1466 24.0968 -12.9871
12.185  24.1108 -12.8427
12.2553 24.1315 -12.7494
12.3229 24.1623 -12.6142
12.4078 24.1618 -12.5311
12.5336 24.0903 -12.4811
12.6532 24.0116 -12.4756
12.7091 24.0651 -12.4597
12.8374 23.9997 -12.4735
12.9602 23.9192 -12.516
13.0781 23.858  -12.5852
13.2293 23.7674 -12.6119
13.3065 23.7058 -12.6349
13.4061 23.708  -12.6653
13.4303 23.592  -12.7393


























































































































































15.9429 15.61   -11.4022  OP
14.1725 16.859  -11.0503  BA
9.0191  20.1566 -8.8099   ST
3.4026  23.8656 -7.7332   IV
9999    9999    9999      R_PG
15.4315 22.9827 -8.5256   R_ZTI
9.2663  22.4768 -10.1743  R_M3D
7.5473  24.6057 -9.5307   R_M12
5.2378  25.8271 -8.7892   R_MP3
3.5674  26.1967 -7.8496   R_PMI
11.84   13.2625 -10.6998  L_PG
8.7517  13.3569 -8.8208   L_ZTI
7.0782  19.1856 -10.2236  L_M3D
4.38    19.871  -9.6208   L_M12
2.4428  21.5699 -8.8401   L_MP3
1.3924  22.9033 -7.8112   L_PMI
4.0987  25.9214 -7.2599   O1
4.1232  20.2837 -6.0349   O2
14.005  22.1975 -4.1281   O3
18.1284 13.4503 -8.2212   O4




















































































































































































15.4308 23.1076 -8.4931   RZYGINF
15.2799 23.1022 -8.5347
15.083  23.1497 -8.5795
14.9723 23.1449 -8.5951
14.8742 23.1462 -8.6157
14.6966 23.1767 -8.6442
14.5204 23.1833 -8.6127
14.3605 23.2435 -8.5837
14.1791 23.2891 -8.5636
13.9824 23.404  -8.5317
13.7838 23.4502 -8.5146
13.5646 23.5498 -8.4314
13.4345 23.5754 -8.3802
13.2947 23.6631 -8.316
13.1666 23.7201 -8.2008
13.0019 23.7926 -8.0675
12.8285 23.8255 -7.9337
12.6667 23.8595 -7.8363
12.5213 23.8568 -7.7449
12.4099 23.8334 -7.7193
12.2316 23.7986 -7.6778
12.0673 23.7625 -7.6601
11.9256 23.738  -7.6735
11.7812 23.651  -7.7026
11.5883 23.6665 -7.7833
11.4844 23.6139 -7.8112
11.3355 23.5951 -7.8789
11.1495 23.5416 -7.9357












































































































































































8.8431  13.4684 -8.9223   LZYGINF
8.7521  13.6272 -8.9387
8.639   13.7936 -8.9602
8.5583  13.9488 -8.9647
8.4097  14.1468 -8.9638
8.3221  14.3017 -8.944
8.2444  14.4188 -8.905
8.0987  14.5792 -8.8311
7.9611  14.7283 -8.7611
7.8473  14.883  -8.6921
7.7026  14.9981 -8.6227
7.5534  15.1288 -8.5043
7.353   15.261  -8.3415
7.2692  15.4597 -8.2004
7.1946  15.6311 -8.0586
7.1548  15.8134 -7.992
7.126   16.0023 -7.9075
