KNM        BC 2a      Tbg1stv
15.9522    11.1231    9.6243
16.0847    11.1363    9.5159
16.2106    11.1689    9.4095
16.3593    11.2253    9.3524
16.4586    11.2679    9.33
16.6568    11.3513    9.2786
16.7813    11.4267    9.2658
16.8991    11.575     9.2497
17.061     11.6566    9.2387
17.1412    11.7205    9.2617
17.2319    11.7811    9.257














































































































































































9999       9999       9999       OP
9999       9999       9999       BA
13.0231    15.368     10.6245    ST
17.4091    20.1166    10.4025    IV
5.6224     13.2236    10.8212    R_PG
9999       9999       9999       R_ZTI
11.9193    17.5968    11.6773    R_M3D
13.4756    19.8835    11.4437    R_M12
15.494     21.4736    10.8238    R_MP3
17.28      22.1491    10.8662    R_PMI
11.1262    7.9254     11.6905    L_PG
14.0248    8.3605     10.6529    L_ZTI
15.3061    14.6701    12.1686    L_M3D
17.4474    16.2787    11.7266    L_M12
19.0069    18.2508    11.0607    L_MP3
19.7561    19.9455    10.7073    L_PMI
19.6201    21.6785    10.539     O1
13.0591    10.5032    4.827      O2
5.1826     14.8224    9.6724     O3
9.8802     6.9043     10.2305    O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































15.8427    12.7465    10.1679    LZYGINF
15.6893    12.5694    10.1267
15.6718    12.392     10.0256
15.6848    12.057     9.9257
15.6379    11.7971    9.8805
15.6138    11.5496    9.8915
15.5309    11.3353    9.9317
15.4144    11.0741    10.0582
15.265     10.8187    10.1405
14.8971    10.2246    10.2956
14.8018    10.0438    10.3241
14.7051    9.8945     10.3747
14.6162    9.7914     10.3939
14.407     9.5559     10.4406
14.2542    9.3223     10.5062
14.1382    8.9793     10.6123
14.1101    8.7281     10.6612
14.0607    8.5898     10.6899
14.0487    8.319      10.6512





















































































































































































11.9051    17.4721    11.6513    R-ALV
11.9835    17.8461    11.613
12.0784    18.1649    11.6413
12.195     18.482     11.6468
12.3165    18.6465    11.6015
12.4989    18.8057    11.543
12.5817    18.9264    11.5338
12.6909    19.0685    11.4892
12.8286    19.2461    11.4486
12.9716    19.4144    11.4547
13.0784    19.5857    11.4441
13.2731    19.7654    11.4041
13.4988    19.8805    11.4581
13.6171    20.0087    11.4421
13.8204    20.1493    11.3591
14.04      20.3009    11.3016
14.1983    20.4187    11.2155
14.4174    20.5212    11.0691
14.6485    20.7033    11.0014
14.8506    20.8722    11.0422
14.9793    21.0283    11.0251
15.2531    21.2073    11.014
15.3105    21.3184    10.9129
15.4277    21.4267    10.8353
















































































































































































15.3033    14.6606    12.086     L-ALV
15.5873    14.7672    12.0289
15.7501    14.8552    12.013
15.9327    14.9282    11.9888
16.1577    15.0075    11.9436
16.3476    15.1537    11.8786
16.4905    15.312     11.7952
16.6786    15.4898    11.7693
16.8438    15.642     11.7322
17.0578    15.7794    11.6869
17.2154    15.9025    11.7003
17.4496    16.1399    11.6138
17.566     16.319     11.6313
17.7533    16.5584    11.635
17.9371    16.8253    11.5477
18.0549    17.0182    11.4802
18.1444    17.2072    11.3838
18.2714    17.3906    11.2768
18.3892    17.5724    11.2768
18.5452    17.7263    11.2078
18.6297    17.8426    11.2194
18.7343    17.9495    11.099
18.8564    18.0379    11.0624
19.015     18.1792    11.014
