NME       spec2     Eth2stv
18.5854   15.4541   -14.444
18.7832   15.6603   -14.4865
18.8541   15.9154   -14.4217
18.9052   16.0326   -14.3897
19.0118   16.1637   -14.3933
19.0349   16.2529   -14.3751
19.2214   16.5273   -14.3812
19.2416   16.6189   -14.3577
19.3469   16.7858   -14.3724
19.4463   17.0565   -14.3457
19.5716   17.2345   -14.3196
19.6216   17.4597   -14.3701














































































































































































12.893    15.6325   -14.1886  L-ALV
12.9051   15.9184   -14.2703
12.932    16.1623   -14.188
12.9771   16.3411   -14.1655
13.0863   16.6151   -14.2302
13.2062   16.8238   -14.2437
13.3457   17.095    -14.213
13.4651   17.3098   -14.2244
13.5513   17.4824   -14.2383
13.6907   17.7163   -14.2407
13.7924   17.8866   -14.1869
13.9396   18.0049   -14.1919
14.0108   18.0845   -14.1812
14.1516   18.2699   -14.1962
14.2129   18.3791   -14.2516
14.3331   18.5148   -14.2144
14.4455   18.7583   -14.1577
14.5925   18.8981   -14.1888
14.6487   19.0326   -14.1511
14.8013   19.2344   -14.1333
14.8958   19.3966   -14.185
15.0044   19.5154   -14.1646
15.09     19.6082   -14.164
15.1734   19.8174   -14.1649
15.3597   19.9992   -14.0811
