NME        HAR-VP 1   Tol8sf
16.7527    13.6638    -15.9197   R_MP3
17.2144    15.5096    -15.3337   R_PMI
9999       9999       9999       L_PG
1.462      14.9251    -11.5487   L_ZTI
7.3539     12.8032    -15.0116   L_M3D
9.9216     15.8712    -15.5928   L_M12
12.6801    17.1199    -14.9778   L_MP3
9999       9999       9999       L_PMI
17.0579    17.1693    -15.2785   O1
11.5093    6.8018     -5.6853    O2
2.1759     15.7876    -10.8165   O3
0.2027     6.2856     -8.5118    O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































7.363      15.2309    -13.6511   LZYGINF
7.233      15.3604    -13.5992
7.1147     15.4772    -13.4679
7.0259     15.6329    -13.2655
6.7867     15.6917    -13.2366
6.5439     15.8095    -13.1043
6.4174     15.877     -12.9931
6.1598     16.0782    -12.8363
6.0437     16.2069    -12.7749
5.8754     16.2766    -12.6979
5.7271     16.3786    -12.6822
5.4588     16.4477    -12.645
5.2297     16.5231    -12.6439
5.0233     16.5121    -12.5929
4.8621     16.5387    -12.5536
4.6343     16.5463    -12.4589
4.4071     16.5117    -12.3844
4.2174     16.5503    -12.2693
4.0613     16.4117    -12.2643
3.8691     16.3653    -12.1783
3.6527     16.2809    -12.062
3.4928     16.2101    -12.0071
3.248      16.0225    -11.9063
3.0785     15.8437    -11.9461
2.9586     15.6932    -11.9377
2.8928     15.5841    -11.9474
2.8286     15.4787    -11.9706
2.6818     15.4416    -11.9343
2.6217     15.2666    -11.9479
2.4715     15.2       -11.8878
2.287      15.1188    -11.8193
2.1736     15.0537    -11.7977
2.0313     15.0288    -11.7537
1.7751     14.9128    -11.7258
1.6889     14.8455    -11.6782
1.5314     14.7652    -11.5458
1.3485     14.6342    -11.4111
1.1897     14.4591    -11.4579
1.0456     14.2309    -11.5207
0.9915     14.0278    -11.4691
1.001      13.927     -11.4975
0.9315     13.7602    -11.5587
0.911      13.6116    -11.6219





























































































































































11.2602    9.4011     -16.0009   R-ALV
11.6172    9.4596     -16.0535
11.8753    9.5018     -16.1107
12.191     9.5805     -16.1649
12.5247    9.7197     -16.2681
12.7444    9.825      -16.31
12.9839    10.0441    -16.272
13.2002    10.1399    -16.3079
13.3153    10.2718    -16.3707
13.5052    10.4072    -16.3405
13.6971    10.5121    -16.3746
13.8804    10.613     -16.4136
14.1211    10.7499    -16.3895
14.2744    10.8357    -16.4035
14.5332    11.0345    -16.4656
14.7352    11.278     -16.4581
14.8489    11.4522    -16.4743
15.0315    11.6679    -16.4522
15.2283    11.8252    -16.501
15.3578    11.9668    -16.487
15.4843    12.1208    -16.4153
15.6511    12.2507    -16.4059
15.7611    12.4425    -16.2967
15.9386    12.6158    -16.2481
16.0725    12.8394    -16.1387
16.2591    13.0891    -16.0679
16.3631    13.2277    -16.0245
16.4514    13.3341    -15.9818
16.5481    13.4797    -15.9207
16.6164    13.5813    -15.888
16.6339    13.7159    -15.931
16.7373    13.8411    -15.8313
16.8012    13.8542    -15.7487







































































































































































7.2516     12.7382    -14.8659   L-ALV
7.2767     12.9229    -14.8984
7.2913     13.1217    -15.0389
7.3015     13.3379    -15.1147
7.3372     13.4717    -15.1689
7.5128     13.7301    -15.2242
7.6354     13.9019    -15.233
7.7479     14.0615    -15.3218
7.8548     14.1924    -15.3136
8.0415     14.3095    -15.3187
8.2398     14.5898    -15.4378
8.43       14.7375    -15.469
8.5856     14.847     -15.502
8.7632     14.9977    -15.5357
8.8892     15.171     -15.4948
9.0015     15.3136    -15.5233
9.1733     15.4707    -15.4839
9.3367     15.627     -15.5587
9.7197     15.8557    -15.6072
10.1213    15.9105    -15.6675
10.4147    16.0844    -15.695
10.6624    16.3145    -15.6246
10.8012    16.4777    -15.5152
11.0081    16.6171    -15.4349
11.1579    16.6191    -15.4109
11.3525    16.6496    -15.3662
11.6376    16.8171    -15.2775
11.7088    16.8648    -15.2835
11.8862    16.9537    -15.2272
12.1277    17.0361    -15.247
12.2836    17.1229    -15.235
12.526     17.1787    -15.2632
12.707     17.282     -15.1603
12.8787    17.1597    -15.2842
