AMNH       169432     Pha1Tosi2
16.2248    9.8854     14.1872
16.4005    10.037     14.2093
16.5874    10.1544    14.2211
16.8378    10.3144    14.1579
17.0535    10.501     14.1645
17.2576    10.737     14.0674
17.3407    10.8788    14.0886
17.5687    11.0717    14.045
17.7267    11.2287    14.0426
17.9305    11.4607    14.1184
18.0989    11.7981    14.1101
18.2271    11.9802    14.1135
18.3711    12.1946    14.1427
18.531     12.3844    14.1311
18.7572    12.584     14.0871
18.8968    12.6972    14.0545
19.0635    12.8716    14.0564
19.1036    12.9205    14.0407
