UWMA       ZA 726     Phu101sf
15.0226    10.3574    11.2664
15.019     10.2417    10.9448
15.0227    10.1285    10.6397
15.0752    10.0817    10.4366
15.1963    10.0768    10.2145
15.3571    10.0166    10.0308
15.5261    10.0337    9.9273
15.7415    10.0888    9.873
16.0531    10.2026    9.9093
16.2347    10.4087    9.925
16.3539    10.4911    9.9867
16.4534    10.5708    9.9902
16.5158    10.6713    10.0021















































































































































































8.4742     9.3992     12.429     OP
9.7555     11.1164    12.5684    BA
13.3606    15.8393    11.7891    ST
17.5719    21.4036    11.7742    IV
6.6618     14.1869    11.8961    R_PG
7.1166     17.2063    10.8752    R_ZTI
11.9766    18.0901    13.0104    R_M3D
13.5774    20.6062    12.9652    R_M12
15.5315    22.6927    12.6198    R_MP3
16.8121    23.6232    12.1239    R_PMI
13.6364    9.0013     12.1611    L_PG
16.4751    10.1697    11.1538    L_ZTI
15.7518    15.2761    13.2607    L_M3D
17.7437    17.544     13.2967    L_M12
19.2852    19.8349    12.9764    L_MP3
19.6712    21.3544    12.4743    L_PMI
19.9357    23.6389    12.1221    O1
9.1709     15.3914    5.2204     O2
16.2277    9.5296     10.7428    O3
7.573      6.7492     9.7007     O4




















































































































































































10.8176    18.9193    10.8782    RZYGINF
10.6612    18.8559    10.7405
10.5559    18.809     10.6545
10.4047    18.8433    10.5424
10.2641    18.8345    10.4946
10.0412    18.8255    10.4369
9.8183     18.8155    10.4078
9.617      18.7814    10.4441
9.3836     18.6841    10.5285
9.1364     18.609     10.6438
8.8791     18.4979    10.7266
8.7315     18.3546    10.7912
8.5149     18.1103    10.8454
8.276      17.9573    10.8567
8.0788     17.786     10.8715
7.8086     17.6099    10.9163
7.6276     17.5635    10.8818
7.419      17.4562    10.9074
7.2468     17.3474    10.8773
7.178      17.2958    10.8626
7.0903     17.2806    10.8412



















































































































































































17.0344    14.2192    11.1981    LZYGINF
17.0895    14.0338    11.0301
17.152     13.8398    10.9038
17.2024    13.5528    10.8042
17.2317    13.3127    10.7806
17.2636    13.0408    10.7959
17.2202    12.7516    10.8861
17.1233    12.4167    11.0296
16.9658    12.0826    11.1474
16.9004    11.9019    11.1946
16.8098    11.6309    11.2336
16.7753    11.5084    11.2235
16.7604    11.273     11.2272
16.6606    11.1223    11.2421
16.6692    10.9201    11.2644
16.6965    10.7282    11.2617
16.6234    10.5457    11.2313
16.5314    10.3981    11.2304
16.4246    10.2658    11.2222
16.4107    10.1887    11.2058




















































































































































































11.9553    18.1192    12.9186    R-ALV
11.9341    18.383     12.83
12.0251    18.6373    12.8456
12.0847    18.9085    12.7818
12.2094    19.0948    12.7952
12.3815    19.2638    12.8412
12.5431    19.5438    12.869
12.723     19.8375    12.8897
12.9108    20.0532    12.8496
13.0017    20.1919    12.8111
13.0665    20.4034    12.8591
13.3289    20.5344    12.8437
13.5765    20.7449    12.88
13.7221    20.9943    12.8171
13.8569    21.179     12.7173
13.9572    21.3323    12.7328
14.6088    21.6986    12.6037
14.7672    22.0679    12.4681
14.9359    22.2757    12.5032
15.0567    22.4698    12.4501
15.2233    22.6364    12.4492
15.3099    22.713     12.4254
15.3384    22.7789    12.3781

















































































































































































15.8997    15.3489    13.228     L-ALV
16.1412    15.4234    13.1379
16.274     15.4917    13.1078
16.5731    15.6932    13.0379
16.8608    15.9854    12.9554
17.0122    16.1863    13.0194
17.1623    16.4002    13.1926
17.3624    16.6315    13.1093
17.5284    16.7703    13.0886
17.7257    16.9517    13.1467
17.758     17.3325    13.1803
17.9329    17.6001    13.0957
18.1071    17.822     13.0536
18.2168    17.9756    13.0831
18.3996    18.2244    13.078
18.3991    18.537     13.0081
18.531     18.8074    13.0062
18.7915    19.0257    12.951
18.9344    19.2266    12.9563
19.1478    19.3898    12.8518
19.2556    19.5296    12.8622
19.3245    19.6687    12.8457
19.3858    19.8104    12.8237
