AMNH       169432     Phu1Tosi4
16.7142    19.7285    12.6392    O1
15.8674    13.6936    10.2404    O2
5.8233     10.9692    5.269      O3
5.1654     2.025      10.4292    O4




















































































































































































7.8825     14.2598    10.9735    RZYGINF
7.5021     14.2662    10.8116
7.1601     14.2729    10.6734
6.8149     14.226     10.653
6.5195     14.0874    10.7128
6.3017     14.0401    10.7999
5.9613     13.8265    10.9984
5.7513     13.6323    11.142
5.5842     13.4674    11.1606
5.4077     13.2791    11.1853
5.2642     13.1449    11.1741
5.0791     13.0313    11.1628
4.8358     12.8874    11.1515
4.6181     12.7065    11.1441
4.3357     12.6623    11.047
4.2361     12.5896    11.0094
4.1211     12.567     10.9675
3.9711     12.5086    10.8883






















































































































































































13.949     9.1808     10.7789    LZYGINF
13.9737    9.0089     10.6532
13.9633    8.8913     10.5508
13.9845    8.7952     10.5014
13.9998    8.6214     10.4373
14.0339    8.439      10.4016
14.0214    8.2182     10.4132
14.0256    8.0542     10.4436
13.9988    7.8556     10.4868
13.9445    7.5973     10.6008
13.9209    7.4192     10.6814
13.8336    7.2641     10.7728
13.6899    7.0471     10.8631
13.6049    6.7971     10.9333
13.5026    6.6076     10.9467
13.3787    6.3555     10.9812
13.3103    6.1384     10.9987
13.2237    5.8929     10.9588
13.1279    5.6814     10.9063
13.0685    5.4577     10.8305
12.9441    5.2245     10.7635



















































































































































































9.2619     13.7938    13.1983    R-ALV
9.3109     14.0166    13.2357
9.3721     14.1967    13.2223
9.4462     14.3506    13.2254
9.5227     14.4976    13.2351
9.6175     14.6384    13.2382
9.7339     14.7868    13.234
9.8833     14.9869    13.2269
9.9794     15.0969    13.2412
10.0589    15.1948    13.2575
10.1673    15.3446    13.2401
10.2641    15.4929    13.1581
10.353     15.6069    13.1586
10.472     15.709     13.1836
10.6065    15.8082    13.1828
10.7261    15.9218    13.1358
10.8016    16.0132    13.0782
10.9293    16.1448    13.0999
11.0322    16.2644    13.0924
11.1297    16.3561    13.0921
11.2542    16.4813    13.0892
11.3893    16.6225    13.0712
11.491     16.689     13.0923
