NMNH       197176     Phu24stv
16.7413    10.604     13.0692
16.6819    10.5697    12.9226
16.6107    10.4968    12.7866
16.5477    10.4326    12.5616
16.4994    10.3801    12.4073
16.4448    10.3096    12.2247
16.3973    10.2567    12.0535
16.3482    10.2006    11.8597
16.327     10.1782    11.7108
16.3036    10.1423    11.5555
16.362     10.1375    11.402
16.4257    10.1338    11.2252
16.5259    10.1581    11.1068
16.7507    10.2403    10.9656
16.9262    10.2418    10.9198
17.0777    10.3425    10.9398
17.1992    10.3981    10.9614
17.3529    10.5233    11.0202
17.512     10.5742    11.0771
17.5721    10.6151    11.1112















































































































































































9.1384     8.1245     12.6566    OP
10.5782    9.8401     12.5068    BA
14.0029    13.0793    11.7553    ST
18.0232    17.3437    12.3563    IV
7.7764     12.4583    11.6715    R_PG
8.8909     14.9058    10.5978    R_ZTI
12.7199    15.2326    12.7549    R_M3D
14.4246    17.3127    12.7058    R_M12
16.5467    18.7804    12.9605    R_MP3
17.3238    19.058     12.8997    R_PMI
13.6332    7.1027     12.3464    L_PG
16.1602    7.9294     11.4955    L_ZTI
16.24      12.2783    13.2012    L_M3D
18.1112    14.0088    13.2594    L_M12
19.5471    16.0765    13.3108    L_MP3
19.8075    16.9734    13.3185    L_PMI
19.9826    18.0925    12.1501    O1
10.3308    12.9045    5.9147     O2
15.9255    7.4825     11.2796    O3
8.0161     5.5069     11.0187    O4




















































































































































































11.8202    15.9959    10.5309    RZYGINF
11.6501    15.981     10.4484
11.4036    15.8363    10.4239
11.2318    15.8195    10.3861
11.0429    15.8062    10.4616
10.7653    15.7563    10.5517
10.6541    15.5941    10.6292
10.5046    15.5086    10.6591
10.3259    15.3986    10.6794
10.1922    15.2963    10.6937
9.9064     15.217     10.7274
9.6482     15.175     10.7574
9.5119     15.1149    10.7529
9.3603     15.0505    10.7526
9.1853     14.9608    10.7353
9.0561     14.9032    10.7075
8.9091     14.782     10.6639























































































































































































17.1711    10.641     11.2005    LZYGINF
17.1453    10.5071    11.1407
17.1683    10.334     11.1238
17.2132    10.133     11.1762
17.1349    9.9621     11.2604
17.0642    9.8187     11.3166
16.941     9.6971     11.3654
16.7939    9.5294     11.3694
16.7536    9.4132     11.4162
16.6556    9.3209     11.4375
16.5846    9.1305     11.4858
16.4895    8.9878     11.4938
16.4291    8.8776     11.5278
16.3957    8.7051     11.5633
16.3635    8.5719     11.5935
16.3336    8.4497     11.6048
16.327     8.1877     11.654
16.2616    8.063      11.5854
16.165     7.8847     11.4747





















































































































































































12.655     15.3311    12.7194    R-ALV
12.6853    15.5746    12.6447
12.772     15.7832    12.6561
12.8678    15.9835    12.6179
13.0166    16.2536    12.5635
13.2522    16.4462    12.6803
13.438     16.6315    12.6815
13.5765    16.7726    12.6981
13.7454    16.9895    12.5848
13.9686    17.2347    12.556
14.2027    17.3174    12.5965
14.4989    17.5756    12.6026
14.6048    17.7016    12.6284
14.8105    17.9286    12.5602
15.0201    18.0352    12.6346
15.2344    18.1529    12.6413
15.4147    18.3221    12.6514
15.4968    18.4387    12.623
15.6509    18.5452    12.6444
15.8583    18.7112    12.6479
16.1102    18.8452    12.7121
16.2551    18.9578    12.6826
16.3975    19.1235    12.6744

















































































































































































16.2531    12.2255    13.1461    L-ALV
16.5967    12.3197    13.1511
16.7539    12.4235    13.1548
16.8889    12.5091    13.1377
17.0797    12.6327    13.1656
17.1687    12.7959    13.2624
17.3367    12.971     13.239
17.481     13.148     13.2515
17.6205    13.257     13.2413
17.8285    13.4368    13.2068
17.9826    13.5981    13.2279
18.0578    13.8248    13.1787
18.1598    14.0309    13.1807
18.2794    14.1846    13.1797
18.3936    14.3208    13.1736
18.6074    14.5993    13.2053
18.6794    14.8881    13.1473
18.779     15.0389    13.2114
18.9319    15.2278    13.2345
19.0321    15.3084    13.2394
19.1605    15.4731    13.2429
19.2776    15.6101    13.2341
19.3682    15.8022    13.2567
19.4962    15.9194    13.213
19.5522    16.1132    13.304
