NMNH       452507     Phc7stv
16.901     12.6879    13.4548
17.045     12.8838    13.4459
17.2255    13.0534    13.4596
17.4218    13.2285    13.419
17.536     13.3161    13.4363
17.6973    13.464     13.4185
17.8359    13.5959    13.5227
17.8825    13.851     13.4939
18.0241    14.0628    13.5085
18.1001    14.2137    13.5975
18.2525    14.3919    13.5866
18.4149    14.6592    13.5744
18.5376    14.8513    13.5896
18.6647    15.0338    13.5896
18.798     15.2236    13.5942
18.9183    15.3379    13.6008
19.0244    15.4194    13.5848
19.1896    15.5466    13.5978
19.2991    15.6884    13.621
