AMNH        81811       Phu3stv
8.6188      15.9795     -10.1028
8.4789      15.9515     -10.0653
8.2426      15.876      -10.0622
8.0179      15.9047     -10.1074
7.8254      15.8782     -10.2007
7.69        15.7947     -10.2902
7.5075      15.7161     -10.4269
7.3593      15.6582     -10.5416
7.1967      15.5334     -10.7067
7.0086      15.4176     -10.868
6.8324      15.285      -10.9978
6.7389      15.2179     -11.078
6.6768      15.1325     -11.1151
6.615       15.0799     -11.1543
6.5237      14.9272     -11.2275
6.4488      14.847      -11.2707
6.3475      14.7517     -11.3284
6.1157      14.6487     -11.3987
5.8938      14.6516     -11.4139
5.7226      14.6674     -11.4254
5.5759      14.6415     -11.4446
5.4363      14.5505     -11.4712
5.3247      14.5398     -11.4699
5.1275      14.415      -11.5376
5.1187      14.3796     -11.4719
5.0826      14.3373     -11.4625
4.9566      14.2025     -11.4566










































































































































































15.2481     12.585      -12.3247    R-ALV
15.369      12.5566     -12.2552
15.5128     12.5926     -12.2016
15.6002     12.6281     -12.1781
15.7217     12.7255     -12.1504
15.8905     12.7942     -12.0755
16.0694     12.8972     -12.0268
16.2168     13.0558     -11.9404
16.288      13.1592     -11.9219
16.3465     13.2894     -11.9301
16.4337     13.3992     -11.9174
16.5138     13.5205     -11.9268
16.5719     13.6052     -11.944
16.6388     13.689      -11.9495
16.7357     13.7629     -11.9117
16.824      13.8787     -11.882
16.9508     14.0179     -11.8566
17.0729     14.1515     -11.7748
17.1595     14.3083     -11.7714
17.1775     14.3616     -11.7682
17.2542     14.5883     -11.6995
17.3046     14.7454     -11.7151
17.4116     14.8776     -11.6628
17.4883     14.9919     -11.654
17.5619     15.0845     -11.6179
17.6881     15.2143     -11.5952
17.7419     15.3094     -11.6023
17.7846     15.5119     -11.5364
17.8528     15.6898     -11.4841
18.0223     15.8702     -11.4701
18.1832     16.0456     -11.4405
18.2717     16.1709     -11.4176
18.3835     16.3256     -11.4183
18.4743     16.4749     -11.3913
18.6172     16.639      -11.2955
18.6904     16.7597     -11.1791
18.7324     16.8909     -11.1837



































































































































































11.235      15.8646     -12.6114    L-ALV
11.1955     16.124      -12.5399
11.2276     16.3175     -12.51
11.2348     16.4242     -12.4827
11.2853     16.587      -12.4665
11.3125     16.7102     -12.4196
11.389      16.8527     -12.3427
11.663      17.1785     -12.2852
11.7846     17.2869     -12.2338
11.8937     17.3766     -12.2385
11.9909     17.4622     -12.2204
12.0862     17.5659     -12.1786
