AMNH       81811      phu3ms5.xls





































2.2522     10.5014    -12.2286   OP
4.3471     11.9604    -12.1054   BA
9.3181     15.4235    -10.6884   ST
16.13      19.9903    -10.4732   IV
7.399      8.4542     -12.0979   R_PG
10.3       8.5375     -10.5001   R_ZTI
12.4901    14.4415    -12.1952   R_M3D
15.0278    15.9282    -11.9154   R_M12
17.1494    17.702     -11.6072   R_MP3
18.4009    18.4799    -11.3139   R_PMI
2.1765     15.9726    -11.9581   L_PG
3.162      18.7798    -10.1376   L_ZTI
9.4866     18.807     -12.0087   L_M3D
11.923     20.5421    -11.7045   L_M12
14.4162    21.8091    -11.4034   L_MP3
9999       9999       9999       L_PMI
18.921     22.4362    -10.6694   O1
6.2785     19.0092    -7.3158    O2
1.5081     17.1441    -10.6947   O3
-0.7154    11.0608    -9.0312    O4




















































































































































































10.442     8.429      -10.4354   RZYGINF
10.5544    8.5489     -10.5035
10.7685    8.7781     -10.5279
10.9096    9.1241     -10.4935
10.9762    9.4149     -10.3988
11.1044    9.6764     -10.316
11.3073    9.8815     -10.1881
11.5245    10.1076    -10.1028
11.7223    10.3563    -9.9481
11.9612    10.5365    -9.8024
11.8248    10.4775    -9.879
12.0128    10.6051    -9.7515
12.0763    10.7572    -9.669
12.1393    10.9117    -9.5757
12.2561    11.0559    -9.4887
12.3188    11.244     -9.4233
12.3447    11.387     -9.3873
12.3862    11.4275    -9.3692
12.416     11.667     -9.3074
12.4947    11.9652    -9.3778
12.6043    12.2062    -9.4862
12.6519    12.3664    -9.5782
12.6972    12.4759    -9.6644
12.7136    12.5199    -9.7096
















































































































































































3.2184     18.6438    -10.2449   LZYGINF
3.3519     18.7673    -10.2641
3.5571     18.8398    -10.305
3.7895     18.9478    -10.3106
4.0794     19.0336    -10.2923
4.4662     19.1399    -10.2723
4.7352     19.2417    -10.2629
4.9746     19.2742    -10.1018
5.3041     19.3665    -9.9671
5.5652     19.4089    -9.8464
5.8279     19.4829    -9.735
6.0548     19.5021    -9.5949
6.3828     19.5367    -9.4309
6.6921     19.4985    -9.3061
6.8496     19.442     -9.2664
7.0049     19.3798    -9.2669
7.2039     19.3673    -9.3087
7.3817     19.3516    -9.3901
7.6016     19.4194    -9.4931
7.7478     19.4631    -9.561































































































