LSZT       R1         Phu188sf
-5.4897    12.7616    11.2062
-5.6889    12.5076    11.2987
-5.7916    12.2154    11.4265
-5.8317    12.0171    11.4947
-5.8518    11.8084    11.5444
-5.8814    11.6312    11.5524
-5.9828    11.3753    11.5374
-6.061     11.1456    11.5381
-6.1819    10.8555    11.4845
-6.3782    10.7083    11.5111
-6.528     10.533     11.4781
-6.6225    10.2673    11.4812
-6.6514    10.0958    11.4653
-6.7019    9.8688     11.3918
-6.7447    9.7524     11.3483
-6.8064    9.6541     11.2526




















































































































































































3.7074     13.7866    11.5595    LZYGINF
3.8623     13.5568    11.4316
4.1171     13.3752    11.2475
4.3813     13.098     11.1947
4.6772     12.7129    11.2866
4.7809     12.3707    11.4273
4.8679     12.1297    11.474
4.8706     11.9002    11.519
4.9401     11.6115    11.5497
5.0039     11.288     11.5613
5.0866     10.9582    11.5362
5.2449     10.8098    11.5447
5.421      10.6917    11.5186
5.5534     10.4881    11.5192
5.6392     10.2532    11.5229
5.727      10.0867    11.459
5.8035     10.0059    11.3919
5.8773     9.8956     11.2577






















































































































































































-3.1117    13.7938    14.1315    R-ALV
-3.25      14.1097    14.2054
-3.2879    14.4208    14.229
-3.3745    14.6718    14.2005
-3.4516    14.926     14.2338
-3.4083    15.2674    14.2574
-3.42      15.6304    14.3509
-3.3969    15.9622    14.3026
-3.4308    16.2664    14.3793
-3.3651    16.594     14.5855
-3.3245    16.846     14.5716
-3.2996    17.2126    14.6807
-3.29      17.4738    14.7262
-3.2304    17.6491    14.7622
-3.2101    17.95      14.8238
-3.2686    18.2264    14.9208
-3.3122    18.5177    14.9772
-3.3073    18.7153    15.0288
-3.2967    18.9098    15.081
-3.2782    19.094     15.1653
-3.2678    19.2451    15.144
-3.2354    19.4086    15.1555


















































































































































































2.1918     14.1359    14.2002    L-ALV
2.3032     14.4603    14.175
2.3567     14.8833    14.2432
2.3399     15.3011    14.3594
2.3379     15.7614    14.2363
2.2831     16.1251    14.2215
2.3048     16.3328    14.3449
2.2907     16.7679    14.5537
2.2307     17.1181    14.556
2.1757     17.3368    14.6472
2.2038     17.6293    14.6631
2.1067     18.04      14.6864
2.1033     18.3429    14.8482
2.1381     18.6488    14.8775
2.1419     19.0259    14.9226
2.1124     19.247     15.0061
2.0733     19.4036    15.0794
2.0637     19.5687    15.1498
