NME        AL321-12   To5
19.2268    -7.4617    13.2832
19.0992    -7.5012    13.3068
18.9883    -7.5416    13.2684
18.9362    -7.5925    13.2321
18.8461    -7.6607    13.2454
18.7622    -7.7129    13.2138
18.7037    -7.7481    13.2813
18.5549    -7.8033    13.2499
18.4101    -7.8711    13.2126
18.288     -7.8931    13.2625
18.2003    -7.9385    13.2781
18.1316    -7.9593    13.2908
17.9778    -8.0227    13.248
17.8379    -8.0883    13.2367
17.7315    -8.1325    13.2265
17.5913    -8.1795    13.1623
17.57      -8.3108    13.1707
