AMNH       169432     Phu1pwl2
4.5318     12.5815    12.1589
4.5804     12.571     11.9098
4.6274     12.5222    11.7735
4.7333     12.5104    11.5139
4.8384     12.5986    11.2767
4.9621     12.6662    11.1641
5.0879     12.8715    11.1143
5.1727     13.1558    11.1439
5.279      13.4274    11.17
5.3571     13.6639    11.1905

















































































































































































-1.0518    5.6337     13.3313    OP
-1.0494    7.7949     13.3754    BA
-0.58      14.2347    12.1171    ST
-0.2418    20.7187    12.1636    IV
9999       9999       9999       R_PG
-6.492     10.8396    10.8736    R_ZTI
-3.2691    15.0671    13.2426    R_M3D
-3.34      17.8572    13.1161    R_M12
-2.9555    20.5055    12.8952    R_MP3
-1.9211    22.2796    12.6321    R_PMI
3.3766     7.6631     13.2232    L_PG
5.1692     10.3522    11.8865    L_ZTI
2.0233     14.9118    13.8497    L_M3D
2.4563     17.6475    13.594     L_M12
2.2607     20.3232    13.2972    L_MP3
1.6074     22.0945    12.5896    L_PMI
-0.4575    24.3827    13.0088    O1
3.6586     10.3066    6.6519     O2
-6.6432    10.5009    10.1992    O3
-0.3218    2.9216     10.2781    O4




















































































































































































-4.5176    14.6128    11.0141    RZYGINF
-4.7617    14.3449    10.8498
-4.9743    14.1939    10.7052
-5.2247    14.0377    10.653
-5.4172    13.8144    10.6665
-5.5841    13.5999    10.7404
-5.7254    13.3061    10.8851
-5.8622    13.092     10.9708
-5.9248    12.6002    11.1443
-6.1255    12.2373    11.1456
-6.2521    11.9489    11.1368
-6.3807    11.5806    11.0982
-6.5005    11.3493    11.0466
-6.5825    11.2048    10.9627
-6.6239    11.0173    10.8576
-6.6548    10.9553    10.7796
























































































































































































3.4182     14.1018    11.6748    LZYGINF
3.6235     13.9444    11.4856
3.7744     13.7375    11.3965
3.915      13.5524    11.3658
4.1369     13.3048    11.423
4.2689     13.07      11.5044
4.3708     12.8613    11.6181
4.4611     12.7258    11.726
4.4161     12.4989    11.7885
4.4158     12.2789    11.8862
4.4667     11.9977    11.9805
4.4763     11.7369    12.0031
4.6099     11.4377    12.0884
4.757      11.302     12.1058
4.9266     11.2066    12.1069
5.0526     11.0468    12.0641
5.1265     10.8437    11.992
5.1774     10.603     11.9483
5.1639     10.4925    11.9221
5.1748     10.35      11.8683




















































































































































































-3.2541    15.1466    13.2955    R-ALV
-3.3964    15.5176    13.2244
-3.4773    15.9978    13.2807
-3.4725    16.4259    13.207
-3.4537    16.7549    13.1777
-3.4445    17.1653    13.1327
-3.3874    17.4916    13.1068
-3.3157    17.7707    13.1255
-3.2871    18.0219    13.1532
-3.2356    18.3721    13.104
-3.1591    18.8465    13.1256
-3.0683    19.0281    13.0444
-2.9839    19.3245    13.0901
-2.9272    19.6596    13.08
-2.8962    20.0196    13.0654
-2.9313    20.2974    12.9731
-2.8984    20.6254    12.9144































































































































