HLD        R8         Phu190sf
4.9911     12.0443    14.6972
5.0683     11.9392    14.4072
5.1424     11.8558    14.1531
5.1764     11.7474    13.9938
5.1977     11.5726    13.7849
5.2055     11.4346    13.5517
5.2182     11.3478    13.3286
5.2027     11.1877    13.2372
5.2042     11.1105    13.0789
5.1369     10.8024    12.7348
5.0726     10.6612    12.5691
4.9682     10.4954    12.3791
4.971      10.3295    12.0945
4.9847     10.1695    11.81
5.0734     10.1053    11.6241
5.1703     10.0411    11.3785
5.2511     10.086     11.1691
5.3734     10.1973    10.8753
5.5284     10.3793    10.7108
5.6746     10.7775    10.6019
5.747      11.1656    10.6323
5.76       11.5543    10.6803
5.8266     11.7944    10.7305
5.8648     12.0274    10.7613
5.8317     12.1153    10.8251














































































































































































0.7789     5.6128     13.9304    OP
0.6313     8.0274     13.9592    BA
0.3697     14.2266    12.756     ST
-0.2637    22.3912    13.1916    IV
-3.8389    7.9974     13.4754    R_PG
-5.502     10.564     12.0724    R_ZTI
-2.1381    15.4949    14.7282    R_M3D
-2.6372    18.4386    14.5593    R_M12
-2.5147    21.4379    14.4834    R_MP3
-2.1258    23.0995    14.3703    R_PMI
5.1229     8.6138     13.6039    L_PG
6.5984     11.2196    11.9548    L_ZTI
2.9357     16.0414    14.6059    L_M3D
3.0166     18.9525    14.2506    L_M12
2.2678     21.9928    14.2082    L_MP3
1.7077     23.4713    14.0171    L_PMI
-0.0188    25.9427    14.2696    O1
-2.8629    10.3417    5.4345     O2
6.6576     11.4261    11.2264    O3
0.3165     2.1072     11.059     O4














































































































































































