UCB LHES   114        Tg6stv
7.72708    12.72059   11.87336
7.58588    12.68077   11.84403
7.38856    12.62595   11.79273
7.16903    12.56923   11.78552
6.91647    12.49351   11.8028
6.68852    12.4309    11.82457
6.48251    12.32369   11.81376
6.26591    12.25344   11.78192
6.08987    12.19097   11.76685
5.91566    12.13747   11.73696
5.7431     12.0845    11.77014
5.60458    12.03484   11.77997
5.38915    11.97732   11.77648
5.18119    11.887     11.73465
5.11156    11.82957   11.71738
5.00757    11.74563   11.70944
4.74367    11.60091   11.65688
4.64826    11.4788    11.64309
4.54902    11.3708    11.60404



















































































































































































13.08273   7.84789    11.89896   LZYGINF
13.1376    7.67246    11.82096
13.13865   7.48827    11.66973
13.21096   7.35721    11.59716
13.16085   7.19189    11.56087
13.07368   6.9802     11.53142
13.04553   6.766      11.54071
13.06108   6.58979    11.50392
12.86887   6.31015    11.51538
12.82494   6.15291    11.50949
12.80872   5.89327    11.47764
12.79357   5.70716    11.43454
12.78201   5.5586     11.40173
12.71285   5.41817    11.35824
12.56704   5.23518    11.35601
12.47946   5.0827     11.36137
12.31787   4.94857    11.40318
12.22211   4.85053    11.37627
12.10694   4.67664    11.3527
12.06034   4.53493    11.30456
11.97067   4.45883    11.27616
11.88768   4.35709    11.24178
11.84009   4.29916    11.20619
11.75961   4.22867    11.17766
















































































































































































8.74468    10.59342   13.12468   R-ALV
8.73389    10.89029   13.18813
8.78321    11.09286   13.28607
8.83015    11.2961    13.39964
8.89342    11.43944   13.46814
9.02481    11.65869   13.61616
9.10824    11.78236   13.78941
9.18738    11.96072   13.83286
9.29334    12.13922   13.81939
9.4094     12.30259   13.90533
9.5857     12.49795   13.91257
9.74832    12.66177   13.9714
9.9388     12.80234   14.00252
10.14415   12.98124   14.01894
10.36652   13.17945   14.09705
10.62737   13.39465   14.09117
10.7301    13.44186   14.13519
10.88857   13.52451   14.13368
11.03624   13.62439   14.12254
11.17074   13.75212   14.1119
11.35742   13.90402   14.14631
11.49669   14.05591   14.13339
11.57366   14.11975   14.16453
11.74685   14.27989   14.11182
11.93419   14.35334   14.11357





































































































































































