NME        AL363-A1   Par1sf

















9999       9999       9999       LTEMFOS







































































































































































































1.1735     -0.3179    0.4619     OP
1.1022     -0.3333    0.4605     BA
0.9061     -0.3773    0.4683     ST
0.7427     -0.4166    0.5127     IV
9999       9999       9999       R_PG
1.0611     -0.5548    0.4398     R_ZTI
0.9239     -0.4614    0.5372     R_M3D
0.8433     -0.489     0.5453     R_M12
0.7644     -0.4991    0.554      R_MP3
0.7178     -0.4959    0.5379     R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
0.8809     -0.2921    0.5354     L_M3D
0.8022     -0.3032    0.5445     L_M12
0.7226     -0.3316    0.5452     L_MP3
0.6986     -0.353     0.5345     L_PMI
0.6859     -0.4749    0.51       O1
0.8609     -0.2113    0.4311     O2
0.9785     -0.4946    0.2807     O3
1.2774     -0.382     0.3836     O4




















































































































































































0.9063     -0.504     0.4651     RZYGINF
0.916      -0.5047    0.4676
0.9202     -0.5085    0.4643
0.9238     -0.5153    0.4607
0.9262     -0.5195    0.4601
0.9303     -0.5245    0.4606
0.9342     -0.5289    0.4593
0.9377     -0.5327    0.4583
0.9446     -0.536     0.4595
0.9491     -0.5372    0.4596
0.9558     -0.5387    0.4598
0.9613     -0.5413    0.4572
0.979      -0.5438    0.4555
0.9858     -0.5453    0.4544
0.9902     -0.5463    0.4533
0.9975     -0.5462    0.4511
1.0052     -0.5479    0.449
1.0105     -0.5509    0.4466
1.0151     -0.5526    0.4442
1.0218     -0.5529    0.4415
1.0295     -0.5547    0.4418
1.0413     -0.5576    0.4409
1.0455     -0.5575    0.4421
1.0501     -0.5551    0.4426
1.0538     -0.5549    0.4419
1.0603     -0.5543    0.4407
1.062      -0.5542    0.4398













































































































































































9999       9999       9999       LZYGINF












































































































































































