AMNH       119761     Laj3cms1



































































































17.963     28.4797    8.4718     OP
17.7338    26.6978    8.6345     BA
17.2352    22.9478    8.0376     ST
16.8199    19.2918    7.8654     IV
20.7874    25.8735    8.0767     R_PG
21.5885    23.7172    7.6631     R_ZTI
18.6648    22.4477    8.9929     R_M3D
18.8194    20.9056    8.7757     R_M12
18.3857    19.2284    8.4855     R_MP3
17.9841    18.4308    8.1378     R_PMI
14.4512    26.8881    8.2758     L_PG
13.2568    24.8389    7.9797     L_ZTI
15.5843    22.9395    9.0129     L_M3D
15.1154    21.5641    8.8731     L_M12
15.0778    19.7822    8.4744     L_MP3
15.2257    18.9598    8.1419     L_PMI
15.7393    18.4374    7.5478     O1
14.2911    21.6366    6.2054     O2
14.3068    28.0841    7.3731     O3
18.7368    30.0678    6.0872     O4




















































































































































































19.9784    21.3025    7.8685     RZYGINF
20.1673    21.3776    7.9062
20.3435    21.5364    7.923
20.4952    21.6311    7.9384
20.6816    21.8421    7.9918
20.8161    22.026     8.0155
20.9341    22.2861    8.0026
20.9839    22.487     7.9718
21.0853    22.7616    7.936
21.194     23.0434    7.8425
21.3204    23.1912    7.7599
21.4049    23.3964    7.7154
21.4559    23.5933    7.6845
21.4946    23.652     7.6591


























































































































































































13.9605    22.245     8.0174     LZYGINF
13.8679    22.373     8.0614
13.7705    22.5376    8.1497
13.6409    22.8144    8.2248
13.5266    23.0518    8.3029
13.5035    23.3863    8.3009
13.4424    23.5453    8.243
13.4539    23.7561    8.2348
13.4385    24.0166    8.2171
13.4212    24.294     8.1593
13.3605    24.6737    8.0332
13.3741    24.7796    8.0118
13.3784    24.8584    8.0012



























































































































































































18.7015    22.4637    8.9589     R-ALV
18.7787    22.3212    8.9362
18.8286    22.2008    8.9462
18.8732    22.0132    8.9403
18.8808    21.8598    8.9361
18.9069    21.7061    8.8923
18.8786    21.5117    8.9073
18.8994    21.3153    8.8547
18.8913    21.1987    8.857
