AMNH       201520     laa5ms.xls
10.528     11.8499    -6.906
10.5994    11.9989    -6.9313
10.6881    12.1381    -6.95
10.8311    12.236     -6.9901
10.9421    12.3644    -6.9927
11.0984    12.5041    -7.0044
11.1752    12.5662    -7.0008
11.2621    12.6711    -7.0053
11.4573    12.7988    -6.9697
11.6148    12.9119    -6.9549
11.7384    13.066     -6.9739
11.9301    13.0861    -6.9601
12.0811    13.1698    -6.9326
12.2124    13.2838    -6.9125
12.3923    13.3558    -6.907
12.5628    13.428     -6.91
12.6978    13.5533    -6.9149
12.9033    13.6154    -6.9202
12.9848    13.6338    -6.9288




















































































































































































12.2553    9.4443     -5.899     R_FOS
10.1778    12.2174    -5.9778    L_FOS
