NMNH       220094     lal1ms.xls
12.5754    7.4129     10.921     LTEMFOS
12.6363    7.3806     10.7826
12.6453    7.3165     10.6828
12.6095    7.2708     10.5486
12.5419    7.2505     10.3955
12.5077    7.2423     10.2289
12.4922    7.2229     10.0843
12.4892    7.1904     9.926
12.4928    7.1915     9.7922
12.4815    7.1545     9.6448
12.4327    7.1005     9.5223
12.3703    7.0529     9.3769
12.3055    7.0424     9.2562
12.2812    7.0252     9.1246
12.2845    7.0235     8.9742
12.3159    6.9898     8.9009
12.3639    7.0245     8.7886
12.4175    6.9703     8.6923
12.5807    7.0538     8.5561
12.6943    7.0885     8.5184
12.8129    7.1298     8.4878
12.8961    7.1829     8.4903
12.9837    7.2257     8.489
13.077     7.2885     8.5347
13.1662    7.2995     8.5551
13.2658    7.3523     8.6038
13.387     7.3916     8.6537
13.4103    7.4015     8.6969
13.4465    7.4584     8.7262
13.498     7.505      8.7773
13.5379    7.5524     8.8449
13.5746    7.5824     8.8591
13.6496    7.5947     8.8853







































































































































































5.2553     3.7635     8.9669     OP
6.2019     5.301      9.1935     BA
8.4935     8.5622     8.1409     ST
10.6795    11.7997    7.6588     IV
3.6034     7.5071     8.3879     R_PG
4.0196     9.7996     7.8128     R_ZTI
7.6075     9.8397     9.0265     R_M3D
8.1165     11.1209    8.7306     R_M12
9.1825     12.2095    8.3679     R_MP3
9.7904     12.7542    7.89       R_PMI
9.3571     3.7717     8.3547     L_PG
11.3535    4.955      7.7615     L_ZTI
10.1831    8.199      8.9198     L_M3D
11.1995    9.1758     8.6439     L_M12
11.8606    10.5532    8.3769     L_MP3
12.1767    11.3409    7.7413     L_PMI
12.0442    11.4828    7.2432     O1
11.3661    7.6698     5.7779     O2
8.3672     2.57       6.9425     O3
5.202      1.9132     6.4335     O4




















































































































































































6.6282     11.1354    7.7783     RZYGINF
6.5629     11.1453    7.7396
6.4876     11.1919    7.7184
6.3854     11.1775    7.7321
6.3044     11.2562    7.7397
6.2074     11.3       7.8184
6.1173     11.3117    7.8584
5.9507     11.2461    7.9278
5.7514     11.199     8.0122
5.7221     11.1445    8.0272
5.6199     11.0968    8.0921
5.5394     10.972     8.103
5.4274     10.8817    8.1128
5.2987     10.8202    8.1054
5.1928     10.7593    8.0985
5.0363     10.6139    8.0442
4.9366     10.509     7.9735
4.7852     10.3656    7.9369
4.6639     10.2686    7.9408
4.5859     10.1578    7.9322
4.5071     10.0717    7.9062
4.3955     9.9773     7.8614
4.3375     9.9244     7.8598
4.25       9.869      7.8748
4.1868     9.8333     7.8883
4.1409     9.7701     7.8331
4.067      9.7654     7.8304
4.0139     9.751      7.7842












































































































































































11.851     7.9457     7.539      LZYGINF
11.8988    7.9042     7.521
11.9389    7.8238     7.5248
11.984     7.7659     7.5411
12.0664    7.6738     7.5827
12.1072    7.5913     7.6506
12.1447    7.5084     7.7333
12.147     7.4108     7.7939
12.1307    7.2747     7.8496
12.1257    7.1722     7.888
12.109     7.0588     7.921
12.0769    6.9612     7.9359
12.0674    6.8383     7.9712
12.0123    6.6928     7.9971
11.9763    6.6251     8.003
11.951     6.5531     8.0025
11.949     6.4092     7.9719
11.8987    6.2928     7.9645
11.856     6.1875     7.9396
11.7811    6.1033     7.951
11.7179    6.0037     7.9514
11.6812    5.8955     7.9069
11.6051    5.7914     7.892
11.5637    5.6898     7.8907
11.5132    5.5499     7.8804
11.5148    5.4355     7.8689
11.4586    5.2739     7.884
11.4069    5.1926     7.8169
11.3778    5.0953     7.7875
11.3344    5.0316     7.7908
11.3292    4.9629     7.7681
11.354     4.9531     7.743
15.084     7.2988     9.5042







































































































































































7.562      9.7975     9.0343     R-ALV
7.545      9.9209     9.0151
7.5104     9.9606     8.9965
7.518      10.0269    8.9693
7.527      10.1131    8.9697
7.5505     10.1921    8.9436
7.5817     10.3046    8.9418
7.6024     10.3875    8.9004
7.6626     10.4861    8.8461
7.6878     10.5822    8.8246
7.7274     10.6757    8.798
7.7658     10.7521    8.7686
7.7726     10.7872    8.7699
7.8219     10.8471    8.7674
7.8574     10.9397    8.7471
7.9099     10.9998    8.7321
7.9523     11.0664    8.7216
7.9843     11.0949    8.7183
8.0169     11.1594    8.6901
8.0704     11.2162    8.6825
8.1341     11.2981    8.6658
8.2167     11.3605    8.6578
8.2857     11.4496    8.637
8.3014     11.489     8.6289
8.3454     11.5121    8.6237
8.4984     11.6707    8.5945
8.5765     11.7276    8.4992
8.6671     11.8099    8.4903
8.7549     11.8824    8.4746
8.7948     11.9345    8.436
8.8775     11.9969    8.4323
8.9222     12.0398    8.4059
8.9595     12.0955    8.3873
9.0424     12.1924    8.3532
9.0902     12.2184    8.3424
9.1516     12.2422    8.3597




































































































































































10.1007    8.1616     8.9323     L-ALV
10.1742    8.1574     8.9158
10.2604    8.1601     8.966
10.4248    8.2361     8.9102
10.4925    8.2688     8.8523
10.5678    8.3092     8.8571
10.6883    8.4158     8.8186
10.7843    8.546      8.728
10.8356    8.6031     8.7212
10.9053    8.6806     8.7056
11.0096    8.7704     8.6577
11.0693    8.893      8.665
11.187     9.0375     8.6483
11.2643    9.1545     8.6419
11.3163    9.2582     8.5813
11.3534    9.344      8.5881
11.407     9.4678     8.5646
11.461     9.5491     8.5568
11.5082    9.715      8.4656
11.5445    9.8132     8.4434
11.6091    9.9056     8.4067
11.6276    9.9597     8.4237
11.7098    10.0819    8.3784
11.7168    10.1712    8.3636
11.7544    10.2263    8.358
11.7912    10.3003    8.3499
11.8275    10.3837    8.3218
11.8739    10.4269    8.2969
11.8818    10.5162    8.3211
11.9296    10.583     8.3237










































































































































































8.0395     10.1783    8.1841     R_FOS
11.2525    8.0564     8.0856     L_FOS
