NMNH       481746     cta4ms.xls
14.3581    9.5382     6.8008     O2
10.9151    5.8687     7.4057     O3
7.5298     5.6114     6.8268     O4




















































































































































































10.3001    13.5085    7.4678     RZYGINF
10.1971    13.5518    7.4882
10.1152    13.6033    7.488
10.0062    13.5999    7.5262
9.9123     13.6284    7.5533
9.7456     13.6042    7.5911
9.6368     13.5811    7.6131
9.5104     13.523     7.6773
9.3398     13.4175    7.7215
9.2715     13.391     7.7283
9.2106     13.3262    7.7298
9.1255     13.2781    7.7316
8.9961     13.1897    7.6988
8.9007     13.1609    7.6901
8.7936     13.0855    7.6865
8.7248     13.048     7.6602
8.6624     13.0089    7.6443
8.5773     12.981     7.6412
8.5178     12.9312    7.6247
8.4532     12.8912    7.599
8.4206     12.8668    7.6027
8.3794     12.7977    7.5598


















































































































































































14.2031    9.8011     7.4328     LZYGINF
14.278     9.7779     7.3844
14.2542    9.6516     7.4907
14.2923    9.5204     7.4912
14.2878    9.4543     7.5164
14.2916    9.4301     7.5215
14.3047    9.3887     7.5287
14.2602    9.235      7.5704
14.216     9.1475     7.6186
14.1645    9.0384     7.6539
14.1191    8.9201     7.6976
14.0525    8.8211     7.6975
13.985     8.6682     7.7002
13.9168    8.5929     7.6925
13.8723    8.5013     7.6835
13.819     8.4399     7.6887
13.7415    8.3198     7.6827
13.6829    8.2075     7.6393
13.6674    8.171      7.6356
13.6031    8.0787     7.6292
13.5585    8.0422     7.6066
13.5076    7.9335     7.581
13.4776    7.9317     7.5697
13.4605    7.8955     7.5614
13.4435    7.8781     7.5484
13.3976    7.7939     7.5312














































































































































































10.4426    11.9773    8.2101     R-ALV
10.4473    12.0765    8.1817
10.477     12.1767    8.1358
10.5142    12.3032    8.1033
10.5546    12.3554    8.1109
10.5952    12.4412    8.1047
10.6483    12.5205    8.1051
10.6937    12.6122    8.065
10.7236    12.6287    8.0562
10.7776    12.7109    8.0435
10.8292    12.7757    8.0292
10.9069    12.8892    8.025
10.9638    13.0455    7.9687
11.0555    13.1547    7.9225
11.1401    13.2126    7.9467
11.2613    13.2862    7.8593
11.351     13.3553    7.8417
11.4495    13.4491    7.8311
11.5319    13.5066    7.7591
11.6099    13.5704    7.7459
11.8258    13.6516    7.6938
11.9791    13.6976    7.7175
12.0978    13.7702    7.6397
12.2172    13.8256    7.6223
12.3388    13.8928    7.597
12.4198    13.9163    7.6012
12.5021    13.9639    7.5861
12.578     14.0169    7.5241
12.6481    14.0693    7.4934
12.6941    14.098     7.4706
12.776     14.0527    7.4516









































































































































































12.4846    9.9178     8.0773     L-ALV
12.5578    9.8881     8.1462
12.6495    9.8808     8.1579
12.7711    9.9171     8.0731
12.8542    9.9562     8.0445
12.9663    10.0054    8.0521
13.0638    10.0384    8.0481
13.2091    10.1144    8.012
13.2943    10.174     8.0057
13.4028    10.2493    7.9752
13.4888    10.3127    7.9614
13.5752    10.3754    7.9481
13.6472    10.401     7.9143
13.7324    10.5027    7.9226
13.7855    10.5758    7.9084
13.8857    10.6905    7.8302
13.9905    10.8358    7.7864
14.0517    10.9041    7.7759
14.1929    11.0278    7.7078
14.2103    11.1666    7.6927
14.1958    11.2971    7.749
14.2743    11.3962    7.6976
14.3082    11.4669    7.6689
14.3827    11.5497    7.6469
14.4477    11.6275    7.6056
14.4511    11.7442    7.6239
14.5154    11.8169    7.592
14.5857    11.8706    7.5518
14.6524    11.9527    7.5037
14.7121    12.0506    7.4862
14.7215    12.187     7.4385









































































































































































8.929      11.2261    6.9485     R_FOS
11.4484    8.2318     6.9356     L_FOS
