AMNH       118806     ctt3ms.xls
10.5413    17.2196    -7.5107
10.2968    17.13      -7.409
10.1751    17.077     -7.329
9.9939     16.9867    -7.2696
9.9026     16.9652    -7.19




























































































































































































15.0781    12.9593    -8.9675    R-ALV
15.2713    12.9398    -8.9724
15.5117    12.9727    -8.9718
15.7221    13.0168    -8.9675
15.9086    13.122     -9.0242
16.0035    13.1701    -9.0581
16.1669    13.2351    -9.075
16.2676    13.2828    -9.0868
16.3953    13.3536    -9.0973
16.567     13.4864    -9.1914
16.67      13.6217    -9.2138
16.8182    13.7296    -9.2155
16.9598    13.8499    -9.2522
17.2376    14.1268    -9.2718
17.3855    14.3096    -9.2831
17.4964    14.3991    -9.2748
17.6586    14.5328    -9.2772
17.8218    14.7215    -9.3223
17.8813    14.8024    -9.3284
17.9921    14.9017    -9.3615
18.23      15.1131    -9.3573



















































































































































































12.8514    15.9981    -9.2511    L-ALV
12.9148    16.1563    -9.2801
13.006     16.3756    -9.2899
13.1725    16.6301    -9.2787
13.4106    16.8469    -9.3325
13.6815    17.1772    -9.3823
13.9989    17.3634    -9.3288
14.2931    17.5818    -9.3791
14.7472    17.7241    -9.4292
14.9954    17.8374    -9.5144
15.3109    18.0103    -9.5257
15.5798    18.1732    -9.5598
15.7484    18.2904    -9.4759
15.8317    18.2822    -9.4996


























































































































































































14.7822    11.7311    -6.4924    R_FOS
11.7388    15.2575    -6.5504    L_FOS
