AMNH       119726     laj38ms.xls
9.4312     13.3779    -6.5785
9.1968     13.3214    -6.4507
9.0286     13.2419    -6.3872
8.8754     13.1883    -6.3122
8.7323     13.1129    -6.2656
8.5517     13.0391    -6.1994
8.3935     12.9802    -6.1426
8.317      12.9441    -6.1283
8.2307     12.9025    -6.1043
8.1826     12.89      -6.0812
8.0147     12.8336    -6.0386























































































































































































12.3297    9.5986     -6.9974    R-ALV
12.567     9.6528     -7.0108
12.8359    9.6903     -7.0077
12.9811    9.7867     -7.0894
13.1594    9.8887     -7.0899
13.2747    9.9806     -7.0998
13.3935    10.0516    -7.0992
13.5338    10.2133    -7.137
13.6447    10.2958    -7.1323
13.8006    10.3962    -7.1378
13.8901    10.4698    -7.162
14.0553    10.7186    -7.1859
14.1812    10.8773    -7.1683
14.339     11.0275    -7.1397
14.4682    11.122     -7.1277
14.6639    11.2529    -7.1051
14.781     11.3852    -7.0643























































































































































































10.3405    11.9794    -7.0141    L-ALV
10.4028    12.2105    -7.0263
10.4694    12.3382    -7.0385
10.5767    12.4824    -7.0765
10.6628    12.5761    -7.1193
10.7543    12.6664    -7.1598
10.8958    12.809     -7.1733
10.9984    12.8964    -7.1679
11.129     12.9699    -7.1847
11.2499    13.0636    -7.1896
11.3575    13.1146    -7.2045
11.4474    13.1847    -7.2157
11.5482    13.2535    -7.2285
11.6549    13.3285    -7.2593
11.8154    13.4035    -7.2529
11.977     13.4172    -7.2118
12.1205    13.488     -7.1813
12.2675    13.5389    -7.194
12.4124    13.6425    -7.2021
12.5079    13.7352    -7.1718
12.6131    13.8431    -7.0864
12.7454    13.9247    -7.0274
12.8374    13.9361    -7.0565

















































































































































































11.1941    8.8096     -5.656     R_FOS
8.6975     11.3013    -5.6278    L_FOS
