AMNH       189378     ca17ms.xls
9.9161     10.9906    -8.6949
9.9235     10.9664    -8.5959
9.9158     10.9559    -8.5163
9.9043     10.9631    -8.475

























































































































































13.0844    8.8326     -8.5717    RTEMFOS
13.0681    8.8133     -8.4347
13.0736    8.7462     -8.2673
13.0338    8.74       -8.1317
13.0288    8.7248     -8.0042
13.0024    8.6836     -7.8711
12.9744    8.6411     -7.7397
12.932     8.5976     -7.562
12.8794    8.596      -7.3745
12.7986    8.5739     -7.1567
12.7749    8.5515     -7.001
12.7558    8.5533     -6.8319
12.7355    8.5512     -6.6643
12.742     8.5643     -6.5236
12.8132    8.5744     -6.373
12.8552    8.5645     -6.2734
12.9357    8.54       -6.1874
13.0619    8.4659     -6.11
13.1889    8.4301     -6.0564
13.3531    8.4328     -6.0449
13.4481    8.4433     -6.0487
13.5694    8.4676     -6.0695
13.6766    8.4915     -6.1039
13.7778    8.495      -6.1422
13.89      8.513      -6.1948
13.9989    8.5303     -6.258
14.0508    8.5418     -6.3078
14.1019    8.5814     -6.3499
14.1626    8.5968     -6.402











































































































































































9.3623     14.047     -8.5237    LTEMFOS
9.3376     14.0436    -8.4257
9.2996     14.0428    -8.3361
9.2589     14.032     -8.2229
9.2063     13.9873    -8.0808
9.1636     13.987     -7.9527
9.1426     13.9596    -7.796
9.0878     13.9489    -7.6799
9.044      13.9057    -7.532
9.0204     13.877     -7.4248
8.9745     13.8435    -7.309
8.9802     13.8432    -7.2312
8.9714     13.8248    -7.1077
9999       9999       9999


























































































































































































9999       9999       9999       OP
9.5815     10.741     -9.1514    BA
13.1343    12.5876    -8.2162    ST
16.3426    14.2426    -7.5865    IV
11.6595    7.9953     -8.8654    R_PG
14.0009    8.2939     -8.1024    R_ZTI
13.764     11.3858    -9.1528    R_M3D
15.472     11.8359    -8.8926    R_M12
16.9453    13.0486    -8.3728    R_MP3
17.4087    13.7221    -7.9358    R_PMI
8.2658     13.8229    -8.4117    L_PG
9999       9999       9999       L_ZTI
12.264     14.071     -8.8982    L_M3D
13.6356    15.1269    -8.5874    L_M12
15.5576    15.6347    -8.1968    L_MP3
16.346     15.6094    -7.7108    L_PMI
17.1723    13.0981    -7.8472    O1
15.699     10.2817    -7.431     O2
10.2326    7.0138     -8.0884    O3
6.9983     8.4023     -6.4646    O4




















































































































































































15.3128    10.6007    -8.2416    RZYGINF
