AMNH       52618      LAJ17MS.XLS

























































13.0327    14.8251    -7.6386    L-ALV
13.0568    14.9797    -7.6007
13.0855    15.0823    -7.5426
13.1347    15.2211    -7.5179
13.2055    15.4219    -7.5396
13.294     15.5479    -7.5532
13.4024    15.6944    -7.506
13.5348    15.8129    -7.5169
13.5993    15.8748    -7.5317
13.6253    15.9755    -7.4444
13.7806    16.136     -7.4645
13.8935    16.2541    -7.4793
14.0632    16.3934    -7.4826
14.1954    16.5242    -7.5068
14.4152    16.6316    -7.4091
14.5911    16.7146    -7.3802
14.6974    16.834     -7.3813
14.8028    16.9897    -7.3801
14.9348    17.0958    -7.3423
15.0774    17.1759    -7.3311
15.2493    17.2989    -7.27



















































































































































































13.5425    10.1302    -6.221     R_FOS
10.7292    13.0125    -6.1124    L_FOS
