AMNH       86900      laa1ms.xls
10.6214    12.3666    -7.2924
10.7827    12.4893    -7.2569
10.9798    12.498     -7.3061
11.1968    12.6003    -7.3156
11.4046    12.6394    -7.3273
11.6458    12.7126    -7.2809
11.7924    12.7745    -7.2674
11.8529    12.7914    -7.273
























































































































































































10.4261    8.5021     -5.7456    R_FOS
8.2828     11.7333    -5.7202    L_FOS
