NMNH       220354     ctt27ms2.xls
10.239     6.7874     11.8212
10.1952    6.7878     11.8708
10.1639    6.8209     11.9024
10.1154    6.8585     11.9357
10.0637    6.885      11.9927
10.0191    6.915      12.0392
9.979      6.9244     12.0757
9.9151     6.9507     12.1131
9.8421     6.9716     12.1432
9.7793     6.979      12.1839
9.7388     6.9881     12.19
9.6898     7.0237     12.2035
9.6107     7.0748     12.2547
9.5207     7.1122     12.2781
9.4703     7.143      12.3038
9.4184     7.1747     12.2985
9.3613     7.1816     12.3348
9.3206     7.1881     12.3429
9.2083     7.217      12.3733
9.1129     7.252      12.4486
9.0444     7.3209     12.4614
9.0007     7.358      12.474
8.8005     7.4878     12.524
8.7316     7.5276     12.5044
8.6811     7.5581     12.4923
8.6132     7.631      12.4359
8.5708     7.6636     12.4085
8.5047     7.7147     12.3874
8.4638     7.7528     12.339
8.4207     7.7844     12.312
8.3903     7.8458     12.2333
8.3719     7.9198     12.1111
8.3377     7.9068     12.0856
8.3717     8.0073     11.869
8.3682     7.986      11.8066
8.324      7.9518     11.6867
8.3433     7.992      11.5223
8.3443     7.9938     11.4153
8.3304     7.9688     11.3484
8.3246     7.9629     11.2688
8.3207     7.9387     11.2011
8.3248     7.9241     11.132
8.3318     7.9011     11.0689
8.3262     7.8723     11.0426
































































































































6.4201     10.9358    11.6323    RTEMFOS
6.3995     10.9713    11.5299
6.3286     10.9834    11.3839
6.3007     10.9521    11.251
6.274      10.9376    11.1246
6.2483     10.9402    11.0065
6.2134     10.904     10.8947
6.1887     10.8936    10.8065
6.159      10.9075    10.6929
6.1226     10.8859    10.5988
6.1017     10.8948    10.4622
6.0589     10.9124    10.3795
6.0476     10.8886    10.2518
6.0433     10.9019    10.1276
6.0398     10.9154    10.0282
6.0174     10.9259    9.9129
6.021      10.9625    9.8007
5.9982     10.9588    9.694
6.0341     10.9992    9.5791
6.014      11.0413    9.4908
6.058      11.0995    9.4077
6.0597     11.1621    9.3422
6.0702     11.2165    9.2867
6.0947     11.3133    9.2398
6.1031     11.3503    9.2228
6.1245     11.4442    9.1859
6.1489     11.5265    9.1682
6.1609     11.6112    9.1601
6.1568     11.6792    9.1407
6.137      11.7457    9.144
6.1941     11.8008    9.1423
6.227      11.8469    9.1435
6.2755     11.8928    9.1704
6.3081     11.938     9.1957
6.2789     12.009     9.2435
6.2601     12.0329    9.2638




































































































































































